P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-29,33",1999,-8%,1.14,0.86,0.00,"-27,21","456,65","1,75","39,66","0,00","0,60",0%,"2,22",-6%,-2%,2%,"1.545,98","0,00","0,00%"
"22,96",2000,15%,0.61,1.00,0.00,"20,47","92,87","5,06","25,62","0,00","2,10",0%,"3,46",22%,9%,9%,"301,12","0,00","0,00%"
"17,53",2001,14%,1.32,1.37,0.00,"24,42","89,38","4,79","11,04","0,00","1,50",0%,"2,53",27%,9%,14%,"144,20","0,00","1,92%"
"11,52",2002,22%,1.07,1.97,0.00,"41,51","109,99","4,35","8,90","0,00","1,48",0%,"2,50",38%,13%,18%,"105,01","0,00","0,83%"
"16,74",2003,17%,1.33,1.17,0.00,"37,93","118,80","5,35","13,59","0,00","1,62",0%,"2,77",32%,10%,13%,"122,69","0,00","4,14%"
"56,66",2004,11%,0.45,0.61,0.00,"24,15","314,75","4,35","28,68","0,00","2,26",0%,"6,22",8%,4%,8%,"84,08","0,00","0,94%"
"28,36",2005,11%,0.36,0.98,0.00,"26,52","305,89","2,46","13,41","7,87","1,47",39%,"3,08",9%,5%,11%,"59,64","35,01","4,79%"
"20,08",2006,17%,0.49,1.00,0.00,"46,97","305,87","3,08","11,16","7,69","1,69",44%,"3,41",15%,8%,16%,"41,01","28,25","2,83%"
"26,22",2007,15%,0.56,0.93,0.00,"4,77","28,60","4,37","13,31","8,78","2,17",45%,"3,92",17%,8%,17%,"38,27","25,24","10,14%"
"16,38",2008,15%,0.63,0.92,0.00,"5,18","28,36","2,99","8,99","5,75","1,40",43%,"2,49",18%,9%,17%,"38,41","24,54","5,40%"
"14,14",2009,28%,0.33,1.21,0.00,"10,43","36,17","4,08","9,45","8,27","2,27",47%,"3,92",29%,16%,26%,"22,72","19,88","3,75%"
"17,67",2010,30%,0.28,1.22,0.66,"2,46","7,92","5,48","13,44","11,62","3,16",46%,"5,34",31%,18%,32%,"21,06","18,21","17,83%"
"19,52",2011,32%,0.16,1.02,0.57,"2,80","8,29","6,59","14,53","12,93","3,69",49%,"6,27",34%,19%,37%,"17,69","15,73","3,06%"
"24,59",2012,33%,0.11,1.05,0.61,"3,40","9,57","8,75","18,88","16,75","4,83",48%,"8,12",36%,20%,36%,"14,79","13,12","3,12%"
"23,86",2013,33%,0.07,1.19,0.67,"0,73","2,81","6,16","17,62","15,51","3,95",50%,"7,79",26%,17%,31%,"13,18","11,60","7,51%"
"20,78",2014,32%,0.06,0.95,0.48,"0,79","2,78","5,89","16,21","14,09","3,56",48%,"6,75",28%,17%,30%,"12,84","11,16","5,44%"
"21,74",2015,28%,0.07,0.94,0.46,"0,82","3,21","5,56","14,91","12,81","3,10",47%,"5,99",26%,14%,29%,"10,71","9,20","3,31%"
"19,70",2016,29%,0.12,0.83,0.28,"0,83","2,97","5,53","15,07","12,51","3,07",45%,"5,65",28%,16%,26%,"12,19","10,12","3,90%"
"42,59",2017,16%,0.05,0.86,0.36,"0,50","3,05","6,97","20,36","16,69","3,85",42%,"6,98",16%,9%,25%,"12,39","10,16","2,87%"
"21,25",2018,23%,0.04,1.02,0.46,"0,72","3,66","4,20","14,23","11,51","2,57",42%,"4,81",20%,12%,24%,"11,90","9,62","3,12%"
"24,10",2019,23%,0.05,1.10,0.48,"0,77","3,98","4,70","18,30","14,17","2,89",39%,"5,58",19%,12%,21%,"12,61","9,77","2,62%"
"19,55",2020,20%,0.05,1.23,0.53,"0,68","4,58","2,89","13,86","10,51","1,83",38%,"3,96",15%,9%,18%,"13,41","10,16","3,70%"
