P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"3,76",1998,5%,"0,50","1,69","0,00","14,85","158,54","0,35","4,58","0,00","0,19",0%,"0,19",9%,5%,4%,"723,96","0,00","0,00%"
"3,95",1999,8%,"0,42","1,81","0,00","27,85","187,47","0,59","2,70","0,00","0,34",0%,"0,33",15%,9%,13%,"219,04","0,00","0,00%"
"3,61",2000,9%,"0,34","1,92","0,00","35,96","215,24","0,60","4,25","0,00","0,35",0%,"0,33",17%,10%,9%,"291,86","0,00","5,65%"
"6,10",2001,4%,"0,30","1,76","0,00","17,71","223,83","0,48","5,29","0,00","0,27",0%,"0,25",8%,4%,5%,"437,50","0,00","9,03%"
"4,23",2002,5%,"0,42","1,91","0,00","25,76","235,10","0,46","3,38","0,00","0,23",0%,"0,23",11%,5%,7%,"278,08","0,00","15,85%"
"4,54",2003,8%,"0,33","2,44","0,00","44,02","264,63","0,76","6,32","0,00","0,41",0%,"0,36",17%,9%,7%,"282,46","0,00","10,49%"
"7,13",2004,8%,"0,26","2,64","0,00","50,46","297,37","1,21","6,77","0,00","0,64",0%,"0,56",17%,9%,10%,"168,11","0,00","5,81%"
"8,07",2005,12%,"0,18","3,14","0,00","9,02","35,79","2,03","7,01","5,59","1,17",18%,"0,98",25%,14%,17%,"87,48","69,72","15,37%"
"17,95",2006,9%,"0,08","3,87","0,00","7,22","42,67","3,03","15,11","12,81","2,17",13%,"1,69",17%,12%,15%,"108,95","92,31","2,25%"
"18,70",2007,9%,"0,19","2,51","0,00","6,85","50,21","2,55","16,87","13,69","1,68",13%,"1,74",14%,9%,11%,"125,35","101,75","2,31%"
"4,73",2008,10%,"0,36","2,21","0,00","9,93","58,56","0,80","4,40","3,40","0,46",15%,"0,49",17%,10%,11%,"90,70","70,14","3,51%"
"14,09",2009,7%,"0,22","2,60","0,00","8,15","62,75","1,83","10,94","8,25","1,14",12%,"1,00",13%,8%,11%,"91,47","69,00","1,54%"
"12,28",2010,14%,"0,22","2,37","1,05","0,88","3,87","2,79","11,60","10,04","1,67",17%,"1,68",23%,14%,23%,"49,82","43,13","1,85%"
"13,93",2011,12%,"0,16","2,42","1,01","0,89","4,27","2,90","13,85","11,81","1,77",14%,"1,68",21%,13%,21%,"51,49","43,91","2,50%"
"20,67",2012,9%,"0,18","2,43","0,82","0,73","4,33","3,49","19,88","16,44","2,11",12%,"1,92",17%,10%,16%,"55,61","45,98","1,66%"
"20,12",2013,9%,"0,30","2,15","0,80","0,74","4,35","3,40","19,20","15,91","1,86",11%,"1,82",17%,9%,15%,"49,98","41,43","1,89%"
"11,56",2014,8%,"0,24","2,15","0,49","0,63","4,56","1,59","10,25","8,29","0,92",11%,"0,90",14%,8%,12%,"50,71","41,04","3,72%"
"12,34",2015,6%,"0,35","1,69","0,37","0,58","4,19","1,70","8,87","6,98","0,87",11%,"0,80",14%,7%,13%,"45,09","35,47","13,76%"
"12,97",2016,13%,"0,22","2,80","0,66","0,77","4,20","2,38","11,51","9,83","1,49",18%,"1,74",18%,11%,17%,"40,47","34,57","3,00%"
"23,39",2017,9%,"0,32","2,18","0,63","0,75","4,81","3,63","21,66","16,88","2,13",13%,"2,21",16%,9%,14%,"43,61","33,99","2,01%"
"24,56",2018,8%,"0,25","2,06","0,47","0,69","5,25","3,24","17,44","14,18","2,01",14%,"2,05",13%,8%,15%,"36,11","29,35","2,82%"
"74,52",2019,7%,"0,10","2,08","0,45","0,45","4,65","7,14","45,40","37,84","4,32",14%,"5,26",10%,6%,12%,"37,70","31,42","0,00%"
"69,64",2020,7%,"0,39","1,79","0,82","0,41","4,87","5,84","58,23","45,34","3,18",10%,"4,75",8%,5%,8%,"56,39","43,91","0,21%"
