P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"5,03",2011,167%,"0,14","3,50","3,12","4,78","31,80","0,75","4,07","4,06","0,56",206%,"8,38",15%,11%,16%,"16,99","16,96","0,17%"
"7,98",2012,121%,"0,28","2,67","2,47","4,04","35,03","0,92","5,94","5,89","0,61",163%,"9,63",12%,8%,12%,"18,72","18,57","0,99%"
"3,79",2013,134%,"0,30","2,15","1,89","4,82","38,78","0,47","2,55","2,53","0,31",200%,"5,07",12%,8%,13%,"14,96","14,88","1,92%"
"4,59",2014,86%,"0,29","2,12","1,68","3,60","41,47","0,40","2,99","2,97","0,27",134%,"3,97",9%,6%,10%,"19,67","19,54","2,79%"
"6,03",2015,62%,"0,27","1,41","1,10","2,68","43,29","0,37","3,69","3,66","0,25",102%,"3,74",6%,4%,7%,"24,87","24,66","2,84%"
"5,31",2016,73%,"0,24","1,39","1,14","3,25","45,25","0,38","3,41","3,43","0,26",112%,"3,85",7%,5%,8%,"21,41","21,53","2,67%"
"7,69",2017,71%,"0,27","1,61","1,42","3,30","47,30","0,54","5,08","5,04","0,36",109%,"5,47",7%,5%,8%,"21,60","21,40","1,81%"
"5,41",2018,97%,"0,20","1,35","1,10","4,76","51,11","0,50","3,52","3,50","0,36",150%,"5,27",9%,7%,11%,"14,62","14,57","1,79%"
"229,76",2019,8%,---,"6,46","5,02","0,22","28,28","1,77","52,46","35,73","1,22",50%,"17,94",1%,1%,3%,"25,61","17,44","0,92%"
"59,93",2020,14%,---,"9,04","7,71","0,48","28,67","1,00","22,00","14,91","0,70",58%,"8,67",2%,1%,4%,"18,01","12,20","0,00%"
