P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"22,22",2010,10%,"0,70","1,49","0,55","1,13","4,46","5,64","16,24","11,93","2,25",19%,"2,24",25%,10%,22%,"7,91","5,81","2,07%"
"17,63",2011,7%,"1,15","2,30","0,87","0,97","4,64","3,68","11,35","7,89","1,30",16%,"1,29",21%,7%,17%,"9,24","6,42","3,98%"
"26,12",2012,8%,"0,74","2,78","0,47","1,25","5,60","5,81","16,95","12,09","2,47",17%,"2,09",22%,9%,19%,"7,62","5,43","1,17%"
"39,67",2013,3%,"0,72","2,45","0,37","0,47","5,97","3,12","16,67","9,31","1,34",12%,"1,11",8%,3%,10%,"13,33","7,44","0,65%"
"51,74",2014,2%,"0,99","2,13","0,55","0,28","6,23","2,33","13,80","6,98","0,91",12%,"0,80",5%,2%,9%,"14,64","7,41","0,76%"
"-27,49",2015,-1%,"0,98","2,24","0,66","-0,18","5,48","0,89","14,14","3,67","0,35",9%,"0,31",-3%,-1%,3%,"39,60","10,28","1,44%"
"-13,82",2016,-3%,"0,81","2,19","0,58","-0,43","4,95","1,20","121,64","6,73","0,46",6%,"0,43",-9%,-3%,1%,"262,71","14,54","0,00%"
"-25,51",2017,-2%,"1,05","1,45","0,36","-0,28","4,70","1,54","13,09","5,57","0,52",9%,"0,51",-6%,-2%,6%,"24,53","10,44","0,00%"
"35,31",2018,1%,"1,04","1,44","0,29","0,15","4,77","1,09","3,77","2,53","0,33",15%,"0,38",3%,1%,12%,"10,12","6,81","0,00%"
"-31,49",2019,-4%,"1,07","1,54","0,47","-0,42","5,44","2,44","50,94","18,68","0,86",6%,"1,20",-8%,-3%,2%,"44,40","16,28","0,00%"
"-12,42",2020,-6%,"0,95","1,76","0,24","-0,68","5,07","1,66","-244,34","27,85","0,64",3%,"0,77",-13%,-5%,0%,"-358,46","40,86","0,00%"
