P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"13,90",2011,77%,---,"5,05","4,46","1,22","4,91","3,46","20,04","0,00","2,55",0%,"10,64",25%,18%,29%,"-0,83","0,00","20,53%"
"15,89",2012,52%,---,"2,87","2,05","1,26","5,44","3,67","17,88","0,00","2,31",0%,"8,19",23%,15%,19%,"0,15","0,00","4,90%"
"15,80",2013,42%,---,"1,98","1,06","1,15","5,38","3,39","17,40","16,78","2,03",40%,"6,70",21%,13%,14%,"1,36","1,31","9,48%"
"18,75",2014,8%,---,"1,13","0,55","0,18","5,03","0,68","-106,25","39,90","0,44",4%,"1,41",4%,2%,0%,"-71,06","26,69","12,94%"
"-0,94",2015,-55%,---,"1,15","0,51","-21,39","79,60","0,25","-0,68","-0,74","0,20",-70%,"0,52",-27%,-21%,-32%,"-1,63","-1,77","0,15%"
"-1,66",2016,-70%,---,"2,68","1,68","-12,15","44,67","0,45","-1,53","-1,38","0,40",-85%,"1,17",-27%,-24%,-30%,"-2,21","-1,99","0,00%"
"-1,13",2017,-89%,---,"3,15","1,90","-10,82","33,52","0,36","-1,19","-1,35","0,31",-75%,"1,01",-32%,-28%,-31%,"-3,00","-3,41","0,00%"
"-0,83",2018,-191%,---,"2,25","1,42","-21,62","12,11","1,49","-0,83","-0,87","1,01",-182%,"1,59",-178%,-121%,-176%,"-1,44","-1,52","0,00%"
"166,46",2019,2%,---,"2,59","2,03","0,17","15,33","1,89","0,00","42,71","1,28",9%,"3,66",1%,1%,0%,"0,00","25,17","0,00%"
"-93,10",2020,-3%,---,"2,64","2,03","-0,26","15,33","1,59","-93,10","47,68","1,06",6%,"3,00",-2%,-1%,-2%,"-65,39","33,49","0,21%"
