P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"22,33",2011,14%,"0,10","4,24","1,70","1,04","4,34","5,35","18,02","17,45","4,03",17%,"3,03",24%,18%,38%,"34,14","33,06","0,91%"
"35,75",2012,11%,"0,21","4,04","1,59","1,11","5,11","7,73","27,16","25,81","5,51",16%,"4,07",22%,15%,32%,"30,38","28,87","0,83%"
"23,97",2013,11%,"0,19","3,87","1,29","1,24","5,80","5,13","17,82","16,54","3,75",17%,"2,74",21%,16%,31%,"26,62","24,71","1,98%"
"21,16",2014,11%,"0,17","3,47","1,12","1,27","6,50","4,15","16,15","14,82","3,00",15%,"2,27",20%,14%,28%,"26,53","24,34","2,15%"
"15,40",2015,11%,"0,20","3,46","1,18","1,36","6,95","3,02","13,12","11,26","2,18",15%,"1,66",20%,14%,25%,"27,64","23,72","3,81%"
"18,87",2016,10%,"0,16","3,51","1,20","1,33","7,53","3,33","14,55","12,57","2,45",14%,"1,80",18%,13%,26%,"25,43","21,97","3,35%"
"31,68",2017,11%,"0,27","2,40","0,95","1,73","7,40","7,39","28,22","23,81","4,68",15%,"3,61",23%,15%,29%,"22,25","18,77","3,77%"
"34,53",2018,9%,"0,16","3,30","0,92","1,59","7,87","6,99","25,90","21,42","4,76",15%,"3,26",20%,14%,27%,"20,33","16,81","2,27%"
"35,49",2019,10%,"0,24","2,11","0,60","1,80","8,20","7,80","25,99","19,18","4,12",18%,"3,47",22%,12%,22%,"17,55","12,95","2,08%"
"23,48",2020,10%,"0,81","2,25","0,99","1,84","8,30","5,19","16,97","13,31","2,06",18%,"2,34",22%,9%,21%,"17,42","13,66","1,16%"
