P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"27,84",2009,59%,0.00,2.39,0.00,"0,44","9,84","1,24","26,32","25,19","1,16",65%,"16,35",4%,4%,4%,"109,28","104,56","2,12%"
"22,70",2010,54%,0.05,1.80,1.67,"0,58","9,81","1,34","20,07","19,27","1,15",64%,"12,37",6%,5%,6%,"77,70","74,57","3,81%"
"18,03",2011,50%,0.06,1.24,1.14,"0,54","9,99","0,98","14,46","13,66","0,80",65%,"8,93",5%,4%,6%,"77,22","72,99","5,71%"
"25,16",2012,51%,0.07,2.13,1.97,"0,56","10,05","1,39","18,62","17,51","1,12",73%,"12,74",6%,4%,7%,"68,84","64,71","3,43%"
"19,37",2013,51%,0.08,1.59,1.49,"0,57","10,19","1,09","13,91","12,88","0,81",76%,"9,83",6%,4%,7%,"65,98","61,12","5,24%"
"18,17",2014,48%,0.09,1.47,1.30,"0,54","10,50","0,94","12,38","11,43","0,70",77%,"8,77",5%,4%,6%,"70,29","64,94","4,06%"
"8,81",2015,99%,0.13,4.14,3.93,"1,24","10,30","1,06","8,45","8,06","0,74",109%,"8,76",12%,8%,13%,"41,86","39,91","7,25%"
"20,74",2016,62%,0.29,3.18,3.09,"0,80","10,51","1,57","27,37","25,10","0,96",51%,"12,91",8%,5%,6%,"87,86","80,58","3,09%"
"36,19",2017,35%,0.23,1.18,1.03,"0,63","11,81","1,93","31,61","21,32","1,25",60%,"12,77",5%,3%,5%,"68,69","46,34","1,98%"
"26,43",2018,43%,0.18,1.30,1.19,"1,01","12,16","2,20","23,08","16,50","1,47",69%,"11,43",8%,6%,8%,"41,65","29,78","2,65%"
"32,60",2019,41%,0.17,1.30,1.18,"1,32","12,34","3,48","27,37","20,76","2,21",65%,"13,46",11%,7%,11%,"29,95","22,72","1,93%"
"32,56",2020,44%,0.21,1.19,1.10,"1,52","12,09","4,10","26,67","20,99","2,48",68%,"14,36",13%,8%,13%,"25,16","19,80","2,56%"
