P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"24,24",2007,2%,1.01,3.66,0.00,"0,45","7,07","1,56","14,72","12,86","0,60",4%,"0,56",6%,2%,5%,"103,98","90,82","0,00%"
"-0,64",2008,-10%,4.70,2.12,0.00,"-2,89","4,01","0,46","1,08","0,97","0,07",7%,"0,07",-72%,-11%,7%,"52,31","46,92","6,49%"
"9,11",2009,3%,2.32,2.28,0.00,"0,64","5,03","1,16","4,27","4,09","0,29",6%,"0,23",13%,3%,8%,"45,53","43,63","0,00%"
"55,74",2010,0%,3.03,2.39,1.07,"0,13","5,20","1,34","3,52","0,00","0,28",0%,"0,21",2%,0%,11%,"30,80","0,00","0,00%"
"13,22",2011,1%,3.33,1.74,0.76,"0,40","5,84","0,91","1,97","0,00","0,16",0%,"0,14",7%,1%,12%,"23,32","0,00","1,13%"
"-8,08",2012,-5%,3.54,2.15,1.19,"-1,39","5,27","2,13","3,85","3,42","0,37",11%,"0,37",-26%,-5%,15%,"15,95","14,20","2,76%"
"-5,31",2013,-6%,7.74,2.12,1.17,"-2,16","3,05","3,77","3,63","3,23","0,34",9%,"0,31",-71%,-6%,15%,"15,55","13,83","0,00%"
"-4,22",2014,-6%,11.10,2.19,1.27,"-2,35","2,70","3,67","2,97","2,70","0,24",9%,"0,25",-87%,-6%,14%,"13,70","12,47","0,00%"
"-3,20",2015,-8%,-18.34,1.65,0.90,"-4,16","-1,99","-6,68","2,77","2,56","0,31",10%,"0,27",209%,-10%,18%,"10,35","9,58","0,00%"
"14,87",2016,2%,13.08,2.01,1.21,"0,82","2,18","5,58","3,29","3,01","0,33",10%,"0,30",38%,2%,18%,"9,83","9,01","0,00%"
"-8,77",2017,-2%,135.31,1.86,0.96,"-1,21","0,31","34,48","2,47","2,16","0,21",9%,"0,20",-393%,-2%,14%,"11,20","9,77","2,44%"
"-1,49",2018,-8%,-34.77,1.36,0.73,"-3,36","-0,80","-6,24","2,78","2,10","0,15",6%,"0,12",420%,-10%,9%,"16,83","12,67","0,00%"
"323,89",2019,0%,-37.28,1.47,0.79,"0,04","-0,70","-18,44","3,54","3,00","0,39",10%,"0,30",-6%,0%,20%,"7,73","6,54","0,00%"
"17,64",2020,2%,20.24,1.88,1.12,"0,79","1,43","9,72","3,68","3,14","0,35",10%,"0,32",55%,2%,18%,"7,00","5,97","0,00%"
