P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"5,81",2008,28%,"0,44","1,96","0,77","3,30","16,98","1,13","4,54","3,48","0,51",47%,"1,64",19%,9%,14%,"8,86","6,79","5,89%"
"13,86",2009,34%,"0,57","2,97","0,95","2,78","16,78","2,30","9,99","8,09","1,11",59%,"4,78",17%,8%,12%,"10,88","8,81","3,04%"
"8,50",2010,37%,"0,49","1,75","0,38","5,10","20,09","2,16","6,17","5,43","1,06",58%,"3,13",25%,12%,19%,"6,05","5,32","2,33%"
"5,47",2011,---,"0,10","0,94","0,34","5,79","24,81","1,28","5,11","5,11","1,03",---,"0,00",23%,19%,21%,"5,98","5,97","5,36%"
"24,06",2012,---,"0,10","0,87","0,25","1,36","26,65","1,23","20,13","0,00","1,04",---,"0,00",5%,4%,5%,"22,92","0,00","5,64%"
"-186,52",2013,---,"0,12","33,85","7,82","-0,13","25,84","0,97","461,40","0,00","0,81",---,"0,00",-1%,0%,0%,"692,24","0,00","5,42%"
"49,49",2014,---,"0,13","0,78","0,26","0,29","25,57","0,56","87,69","0,00","0,47",---,"0,00",1%,1%,1%,"231,91","0,00","11,96%"
"-0,67",2015,---,"0,17","11,09","11,09","-7,41","22,65","0,22","-0,70","0,00","0,18",---,"0,00",-33%,-27%,-27%,"-5,39","0,00","20,64%"
"8,25",2016,---,"0,20","7,90","7,83","1,80","22,63","0,66","6,65","0,00","0,51",---,"0,00",8%,6%,9%,"15,52","0,00","0,74%"
"4,31",2017,---,"0,19","0,72","0,67","6,66","25,19","1,14","3,85","0,00","0,89",---,"0,00",26%,21%,27%,"4,75","0,00","4,98%"
"9,26",2018,---,"0,02","1,23","1,00","3,42","28,62","1,11","8,94","0,00","1,04",---,"0,00",12%,11%,12%,"9,82","0,00","6,09%"
"-33,06",2019,---,"0,02","1,76","0,64","-1,16","27,47","1,39","-32,10","0,00","1,32",---,"0,00",-4%,-4%,-4%,"-29,85","0,00","1,57%"
"2.528,12",2020,---,"0,02","2,00","0,72","0,01","30,23","1,20","-4.213,53","0,00","1,15",---,"0,00",0%,0%,0%,"-4.130,55","0,00","0,00%"
