P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"144,06",2009,1%,"0,67","1,78","0,00","0,31","30,20","1,50","212,22","28,87","0,77",4%,"1,24",1%,1%,0%,"279,81","38,07","0,51%"
"29,57",2010,4%,"0,53","1,73","0,56","0,92","15,64","1,75","16,05","10,25","0,86",10%,"1,05",6%,3%,7%,"14,31","9,14","1,10%"
"23,16",2011,5%,"0,57","1,39","0,34","1,57","16,23","2,24","15,82","10,97","1,06",11%,"1,23",10%,5%,8%,"11,26","7,81","2,00%"
"44,66",2012,3%,"0,65","1,55","0,34","0,94","16,75","2,52","26,41","15,58","1,19",8%,"1,29",6%,3%,6%,"17,40","10,27","0,76%"
"40,15",2013,3%,"0,69","1,57","0,43","1,23","16,88","2,92","21,88","13,68","1,32",10%,"1,40",7%,3%,8%,"12,15","7,60","1,79%"
"24,73",2014,8%,"0,74","1,83","0,69","2,57","18,09","3,51","15,82","11,68","1,52",16%,"1,90",14%,6%,14%,"6,39","4,72","1,48%"
"14,33",2015,10%,"1,10","1,65","0,52","3,87","17,08","3,24","10,61","8,09","1,11",17%,"1,39",23%,8%,15%,"6,22","4,74","2,15%"
"-107,11",2016,-1%,"1,55","1,49","0,55","-0,45","15,04","3,21","21,60","14,32","0,91",8%,"1,16",-3%,-1%,6%,"16,09","10,67","1,58%"
"-27,08",2017,-3%,"1,75","1,29","0,42","-1,35","14,42","2,54","40,35","15,69","0,66",6%,"0,89",-9%,-2%,2%,"42,65","16,58","0,00%"
"-3,99",2018,-15%,"2,94","1,31","0,37","-5,50","9,27","2,37","-86,49","23,56","0,42",3%,"0,59",-59%,-11%,-1%,"-165,11","44,97","0,00%"
"96,29",2019,1%,"2,29","1,13","0,35","0,37","10,03","3,51","9,69","6,42","0,69",13%,"0,86",4%,1%,10%,"10,57","7,00","0,00%"
"14,15",2020,4%,"3,38","1,19","0,51","1,57","8,36","2,65","5,38","3,72","0,38",14%,"0,51",19%,3%,11%,"9,53","6,59","0,00%"
