P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-0,64",2002,-18%,"3,57","0,67","0,00","-342,51","674,24","0,33","0,54","0,00","0,05",0%,"0,11",-51%,-8%,11%,"20,07","0,00","0,00%"
"10,33",2003,4%,"2,94","0,91","0,00","6,47","38,96","1,72","3,61","0,00","0,33",0%,"0,45",17%,3%,10%,"21,58","0,00","0,00%"
"16,89",2004,6%,"1,37","1,18","0,00","7,93","48,50","2,76","5,99","0,00","0,81",0%,"0,99",16%,5%,16%,"12,60","0,00","1,69%"
"11,98",2005,4%,"1,15","1,31","0,00","1,59","12,86","1,48","4,71","2,80","0,44",19%,"0,53",12%,4%,11%,"17,05","10,15","3,95%"
"52,36",2006,1%,"1,55","1,08","0,00","0,29","12,17","1,23","5,20","2,61","0,33",16%,"0,41",2%,1%,8%,"25,55","12,82","1,00%"
"7,69",2007,5%,"1,32","1,11","0,00","1,87","14,68","0,98","4,21","2,24","0,30",16%,"0,35",13%,4%,8%,"18,87","10,01","1,11%"
"-1,16",2008,-14%,"3,26","1,02","0,00","-4,80","7,25","0,77","2,90","1,26","0,12",12%,"0,16",-66%,-11%,5%,"32,43","14,09","11,53%"
"7,98",2009,6%,"2,06","0,97","0,00","1,77","9,13","1,54","5,73","3,13","0,33",15%,"0,48",19%,4%,7%,"22,96","12,54","0,00%"
"8,62",2010,7%,"1,22","1,04","0,34","2,36","13,01","1,57","5,07","3,38","0,47",19%,"0,64",18%,5%,12%,"9,14","6,10","0,00%"
"-19,66",2011,-2%,"1,52","1,12","0,35","-0,65","12,44","1,03","5,32","2,81","0,27",11%,"0,31",-5%,-1%,7%,"16,37","8,65","6,48%"
"-13,81",2012,-2%,"2,02","1,00","0,27","-0,93","10,88","1,18","6,62","2,94","0,25",10%,"0,29",-9%,-2%,5%,"21,81","9,70","4,77%"
"32,78",2013,1%,"2,42","1,10","0,33","0,64","9,65","2,18","6,10","3,49","0,35",12%,"0,41",7%,1%,8%,"12,30","7,03","0,00%"
"19,14",2014,2%,"3,45","1,05","0,29","0,91","7,40","2,36","3,90","2,48","0,28",12%,"0,30",12%,1%,10%,"10,02","6,36","3,49%"
"7,58",2015,6%,"20,45","1,05","0,45","3,64","1,68","16,44","3,12","2,40","0,37",19%,"0,47",217%,5%,17%,"5,59","4,30","2,21%"
"-37,41",2016,-2%,"13,56","0,71","0,34","-0,92","2,16","15,88","4,59","3,16","0,53",18%,"0,57",-42%,-1%,16%,"5,88","4,05","7,36%"
"8,27",2017,8%,"4,16","0,94","0,32","5,19","7,14","6,01","3,65","2,78","0,64",25%,"0,69",73%,8%,22%,"3,96","3,02","2,94%"
"12,99",2018,5%,"4,26","0,93","0,34","3,65","7,41","6,39","4,55","3,34","0,64",19%,"0,65",49%,5%,19%,"4,43","3,26","3,99%"
"-8,21",2019,-6%,"7,41","1,44","0,52","-3,63","4,95","6,03","-424,95","6,66","0,35",7%,"0,45",-73%,-4%,0%,"-719,37","11,27","2,81%"
"-2,52",2020,-15%,"-13,55","1,29","0,62","-10,00","-3,60","-7,00","-11,89","18,39","0,26",2%,"0,39",278%,-10%,-3%,"-27,29","42,21","3,34%"
