P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-60,19",2007,-33%,"0,47","3,57","0,00","-0,40","10,43","2,30","85,27","0,00","1,47",0%,"19,77",-4%,-2%,2%,"208,31","0,00","0,00%"
"-59,73",2008,-8%,"0,82","5,05","0,00","-0,15","10,43","0,87","10,86","6,62","0,46",73%,"4,81",-1%,-1%,4%,"74,31","45,32","0,00%"
"3,94",2009,279%,"0,29","4,08","0,00","5,46","25,27","0,85","2,78","2,76","0,51",398%,"11,00",22%,13%,18%,"6,86","6,81","0,00%"
"10,88",2010,116%,"0,27","1,02","0,50","1,57","14,35","1,19","7,12","7,04","0,65",180%,"12,63",11%,6%,9%,"10,82","10,69","1,40%"
"10,24",2011,92%,"0,44","0,89","0,51","1,77","16,22","1,12","5,60","5,59","0,57",168%,"9,40",11%,6%,11%,"8,19","8,18","0,94%"
"6,32",2012,172%,"0,51","0,88","0,55","4,27","19,55","1,38","3,57","3,56","0,68",305%,"10,85",22%,11%,20%,"3,78","3,76","0,56%"
"10,27",2013,61%,"0,50","0,68","0,32","1,66","20,76","0,82","4,29","4,27","0,41",146%,"6,23",8%,4%,10%,"7,42","7,38","2,76%"
"12,60",2014,45%,"0,52","1,41","0,81","1,30","21,35","0,77","4,43","4,40","0,38",130%,"5,70",6%,3%,9%,"7,98","7,93","2,80%"
"75,52",2015,5%,"0,55","1,08","0,67","0,15","21,40","0,52","3,58","3,55","0,25",106%,"3,77",1%,0%,7%,"9,58","9,51","4,14%"
"33,68",2016,17%,"0,47","1,17","0,49","0,35","16,53","0,72","30,70","28,49","0,38",20%,"5,68",2%,1%,1%,"56,85","52,76","0,00%"
"-12,67",2017,-69%,"0,32","2,74","2,04","-1,00","12,03","1,06","-12,12","-12,33","0,62",-71%,"8,76",-8%,-5%,-6%,"-11,79","-11,99","0,55%"
"10,32",2018,92%,"0,25","1,38","0,98","1,27","12,53","1,04","6,94","6,87","0,63",139%,"9,53",10%,6%,10%,"6,71","6,64","0,69%"
"11,40",2019,110%,"0,23","2,42","1,67","1,58","13,28","1,36","8,01","7,92","0,84",158%,"12,54",12%,7%,11%,"5,64","5,58","4,93%"
"6,74",2020,108%,"0,26","2,72","2,02","1,54","13,41","0,78","4,59","4,46","0,48",164%,"7,30",12%,7%,11%,"5,70","5,53","7,88%"
