P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"3,14",2010,395%,"0,68","0,74","0,55","5,78","19,42","0,94","2,12","2,12","0,50",587%,"12,42",30%,16%,25%,"5,08","5,08","0,17%"
"9,91",2011,98%,"0,56","4,88","4,26","1,87","20,51","0,90","4,55","4,54","0,52",214%,"9,71",9%,5%,14%,"7,56","7,55","0,59%"
"6,48",2012,195%,"0,66","1,12","0,68","3,94","25,72","0,99","3,49","3,49","0,52",362%,"12,61",15%,8%,15%,"4,02","4,02","0,75%"
"78,98",2013,8%,"0,72","1,21","0,81","0,24","25,58","0,73","7,89","7,88","0,36",77%,"6,08",1%,0%,5%,"12,77","12,76","2,74%"
"11,45",2014,32%,"0,69","1,84","1,16","0,90","20,35","0,50","3,57","3,57","0,26",103%,"3,66",4%,2%,8%,"9,42","9,41","58,93%"
"-3,26",2015,-108%,"0,77","2,00","1,60","-2,58","15,77","0,53","-36,39","-36,79","0,27",-10%,"3,52",-16%,-8%,-1%,"-99,54","-100,63","26,48%"
"74,56",2016,6%,"0,71","1,77","1,52","0,10","15,86","0,47","16,09","15,99","0,24",30%,"4,81",1%,0%,2%,"49,48","49,16","0,00%"
"15,64",2017,64%,"0,49","1,73","1,51","0,68","14,43","0,73","8,88","8,86","0,44",113%,"10,04",5%,3%,6%,"12,91","12,87","0,19%"
"238,46",2018,3%,"0,60","1,47","1,32","0,03","14,42","0,57","6,43","6,41","0,31",124%,"7,93",0%,0%,6%,"12,53","12,50","1,95%"
"22,81",2019,82%,"0,25","4,86","4,09","0,63","14,66","0,99","9,20","9,18","0,72",205%,"18,78",4%,3%,9%,"6,48","6,47","0,00%"
"9,18",2020,138%,"0,24","5,15","4,29","1,00","14,68","0,63","5,94","5,92","0,46",214%,"12,69",7%,5%,9%,"6,59","6,57","0,98%"
