P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"116,91",2007,3%,"2,00","1,02","0,00","0,61","2,88","24,69","29,23","0,00","4,39",0%,"3,18",21%,4%,24%,"198,39","0,00","0,00%"
"41,63",2008,2%,"7,10","1,22","0,00","0,57","1,88","12,67","9,61","7,28","1,07",12%,"0,84",30%,3%,15%,"200,69","152,15","0,55%"
"105,35",2009,1%,"5,77","1,77","0,00","0,45","2,23","21,41","14,59","12,38","2,27",11%,"1,39",20%,2%,20%,"151,62","128,61","0,33%"
"99,25",2010,1%,"9,24","1,66","0,58","0,32","2,04","15,44","8,45","7,45","1,08",11%,"0,85",16%,1%,25%,"132,82","117,01","0,32%"
"-16,16",2011,-2%,"1,85","2,00","0,67","-0,56","7,12","1,26","6,07","4,65","0,35",7%,"0,34",-8%,-2%,10%,"229,91","176,19","0,67%"
"-15,65",2012,-4%,"2,85","1,90","0,83","-1,09","6,19","2,75","16,53","10,47","0,56",5%,"0,55",-18%,-4%,7%,"339,78","215,23","0,00%"
"-15,27",2013,-3%,"4,32","1,62","0,73","-1,00","5,21","2,93","8,89","6,46","0,37",6%,"0,40",-19%,-2%,10%,"201,53","146,34","0,00%"
"-35,17",2014,-2%,"0,62","1,30","0,49","-0,64","12,05","1,86","15,62","11,10","0,75",6%,"0,72",-5%,-2%,9%,"146,36","104,03","0,00%"
"-9,38",2015,-5%,"1,55","1,61","0,79","-1,62","10,52","1,45","9,51","6,01","0,39",7%,"0,43",-15%,-4%,8%,"133,37","84,27","0,00%"
"-7,19",2016,-6%,"1,39","1,58","0,63","-1,42","8,99","1,13","9,68","5,35","0,34",8%,"0,41",-16%,-5%,6%,"154,06","85,18","0,00%"
"-22,58",2017,-6%,"1,60","1,88","1,21","-0,91","8,61","2,38","37,51","15,95","0,74",8%,"1,31",-11%,-3%,4%,"222,19","94,47","0,00%"
"-48,40",2018,-6%,"1,94","2,19","1,57","-0,87","7,73","5,43","-873,40","46,60","1,47",6%,"2,96",-11%,-3%,0%,"-2.505,68","133,70","0,00%"
"-103,43",2019,-5%,"1,12","1,95","1,34","-0,61","10,96","5,74","316,25","52,51","2,05",9%,"4,86",-6%,-2%,2%,"512,18","85,04","0,00%"
"-182,69",2020,-4%,"1,21","2,11","1,46","-0,55","10,76","9,31","459,94","79,83","3,25",9%,"7,30",-5%,-2%,2%,"469,79","81,55","0,00%"
