P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"22,83",2009,5%,"0,50","0,90","0,12","0,37","2,70","3,14","10,81","5,53","1,41",19%,"1,04",14%,6%,14%,"15,39","7,87","0,00%"
"9,66",2010,9%,"0,35","1,06","0,37","0,70","3,13","2,16","6,08","4,24","1,05",20%,"0,86",22%,11%,20%,"10,22","7,13","3,25%"
"8,93",2011,6%,"0,45","1,07","0,37","0,52","3,24","1,42","5,49","3,40","0,65",16%,"0,54",16%,7%,14%,"14,58","9,02","7,17%"
"8,48",2012,6%,"0,37","1,07","0,26","0,49","3,46","1,21","5,42","3,05","0,58",17%,"0,52",14%,7%,12%,"15,83","8,92","4,06%"
"133,85",2013,0%,"0,57","1,03","0,18","0,02","3,57","0,87","14,87","3,96","0,39",10%,"0,38",1%,0%,3%,"66,97","17,83","0,00%"
"10,83",2014,3%,"0,48","0,82","0,16","0,29","3,80","0,82","4,81","2,44","0,37",13%,"0,33",8%,3%,8%,"21,92","11,12","2,89%"
"6,23",2015,4%,"0,39","0,85","0,20","0,48","4,09","0,73","3,04","1,78","0,33",15%,"0,27",12%,5%,12%,"14,02","8,23","5,70%"
"5,69",2016,8%,"0,33","0,90","0,17","0,86","4,62","1,06","3,53","2,25","0,58",20%,"0,44",19%,10%,19%,"9,89","6,31","6,33%"
"8,95",2017,9%,"0,31","1,20","0,56","1,10","5,33","1,85","5,97","4,10","1,03",21%,"0,85",21%,12%,22%,"7,75","5,33","3,65%"
"8,47",2018,8%,"0,23","1,20","0,31","0,81","5,74","1,20","6,00","3,53","0,73",19%,"0,69",14%,9%,14%,"11,54","6,80","5,08%"
"18,30",2019,6%,"0,46","0,96","0,20","0,67","6,15","1,99","11,39","4,95","1,04",24%,"1,18",11%,6%,11%,"13,73","5,96","2,04%"
"15,52",2020,8%,"0,41","0,97","0,20","0,81","6,32","2,00","9,95","4,76","1,09",25%,"1,19",13%,7%,13%,"11,51","5,50","1,98%"
