P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-5,14",2002,-12%,"2,93","0,54","0,00","-1,44","6,07","1,22","2,19","0,00","0,27",0%,"0,63",-24%,-5%,13%,"105,71","0,00","0,00%"
"11,89",2003,16%,"1,94","0,49","0,00","2,17","7,63","3,38","6,11","0,00","0,96",0%,"1,92",28%,8%,16%,"83,74","0,00","1,36%"
"22,09",2004,18%,"1,08","1,04","0,00","2,63","10,75","5,41","10,99","0,00","2,04",0%,"4,00",24%,9%,19%,"56,08","0,00","2,74%"
"14,62",2005,26%,"1,09","1,04","0,00","5,06","13,79","5,37","9,28","6,79","2,18",56%,"3,82",37%,15%,24%,"37,60","27,54","4,05%"
"21,03",2006,26%,"1,12","1,70","0,00","1,37","3,92","7,37","13,60","9,75","3,04",56%,"5,42",35%,14%,23%,"35,66","25,56","3,05%"
"18,69",2007,25%,"1,23","1,64","0,00","1,47","4,06","6,77","9,86","7,68","2,62",61%,"4,71",36%,14%,27%,"27,34","21,30","4,80%"
"13,14",2008,27%,"2,32","0,60","0,00","1,80","3,98","5,94","6,96","5,53","1,52",63%,"3,48",45%,12%,22%,"23,70","18,84","6,35%"
"27,38",2009,21%,"1,74","1,54","0,00","1,46","6,59","6,05","11,90","9,24","1,94",62%,"5,70",22%,7%,17%,"22,83","17,74","3,79%"
"30,44",2010,15%,"2,14","0,57","0,39","1,54","7,11","6,59","12,16","10,25","1,62",43%,"4,45",22%,5%,15%,"20,13","16,96","4,12%"
"23,66",2011,18%,"2,16","0,47","0,26","0,52","1,82","6,71","9,48","7,96","1,68",53%,"4,20",28%,7%,19%,"15,33","12,87","14,89%"
"28,76",2012,21%,"2,43","0,43","0,24","0,68","1,90","10,21","13,75","11,30","2,40",53%,"5,95",36%,8%,19%,"14,41","11,85","3,08%"
"22,90",2013,23%,"2,37","0,55","0,38","0,78","1,97","9,00","11,51","9,54","2,24",55%,"5,22",39%,10%,22%,"13,10","10,86","4,16%"
"20,12",2014,18%,"2,85","0,56","0,35","0,77","2,08","7,41","9,50","7,65","1,58",48%,"3,68",37%,8%,19%,"13,12","10,56","5,19%"
"28,12",2015,9%,"3,62","0,50","0,31","0,45","2,21","5,68","8,12","6,24","1,02",42%,"2,61",20%,4%,14%,"14,86","11,42","4,78%"
"17,19",2016,16%,"3,91","0,59","0,39","0,93","2,35","6,80","6,55","5,44","1,15",52%,"2,82",40%,7%,20%,"9,78","8,12","4,39%"
"15,98",2017,17%,"1,99","1,09","0,82","1,01","4,81","3,36","7,32","5,64","0,93",48%,"2,70",21%,6%,15%,"10,47","8,07","3,96%"
"35,46",2018,7%,"2,02","0,94","0,60","0,32","4,17","2,68","9,63","5,93","0,73",39%,"2,33",8%,2%,9%,"18,18","11,19","5,36%"
"26,85",2019,13%,"2,26","1,09","0,77","0,71","4,18","4,54","10,81","6,98","1,15",52%,"3,62",17%,4%,13%,"12,05","7,79","4,06%"
"20,89",2020,12%,"2,09","0,96","0,67","0,67","4,50","3,09","7,94","5,05","0,83",51%,"2,60",15%,4%,12%,"12,04","7,66","5,53%"
