P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-69,98",2006,-6%,"0,51","0,44","0,00","-0,36","30,98","0,81","10,96","0,00","0,42",0%,"3,97",-1%,-1%,4%,"19,20","0,00","0,00%"
"79,46",2007,8%,"0,35","0,66","0,00","0,55","31,53","1,38","18,57","16,11","0,72",40%,"6,52",2%,1%,4%,"16,75","14,54","0,00%"
"-2,10",2008,-95%,"0,49","0,57","0,00","-7,18","24,13","0,63","-2,98","-4,20","0,29",-47%,"1,99",-30%,-14%,-10%,"-7,88","-11,10","0,93%"
"10,30",2009,29%,"0,35","0,53","0,00","2,33","26,02","0,92","8,10","5,41","0,48",55%,"2,97",9%,5%,6%,"12,55","8,38","1,25%"
"93,08",2010,3%,"0,26","0,54","0,11","0,29","31,98","0,84","13,00","6,04","0,47",50%,"3,04",1%,1%,4%,"17,31","8,04","0,52%"
"98,40",2011,4%,"0,26","0,61","0,28","0,34","30,89","1,07","11,77","6,36","0,59",58%,"3,66",1%,1%,5%,"12,36","6,69","1,63%"
"42,34",2012,4%,"0,25","0,60","0,29","0,46","30,16","0,64","6,64","3,67","0,38",52%,"1,89",2%,1%,6%,"11,64","6,43","7,27%"
"-37,65",2013,-5%,"0,19","1,18","0,67","-0,60","28,45","0,79","42,94","8,62","0,48",22%,"1,88",-2%,-1%,1%,"59,02","11,84","6,33%"
"15,62",2014,12%,"0,20","1,34","1,10","1,72","26,35","1,02","8,64","5,30","0,60",34%,"1,81",7%,4%,8%,"8,36","5,13","11,86%"
"-73,14",2015,-2%,"0,12","1,02","0,55","-0,18","22,32","0,60","9,75","4,82","0,37",31%,"1,49",-1%,-1%,4%,"21,12","10,45","36,19%"
"14,49",2016,18%,"0,08","0,98","0,59","0,93","21,87","0,62","15,67","7,54","0,39",35%,"2,65",4%,3%,3%,"32,74","15,76","3,63%"
"-25,73",2017,-11%,"0,05","0,91","0,42","-0,51","21,72","0,61","-36,95","21,91","0,39",13%,"2,93",-2%,-2%,-1%,"-79,04","46,88","3,64%"
"24,20",2018,18%,"0,03","0,97","0,46","0,90","21,69","1,01","23,96","11,63","0,69",38%,"4,37",4%,3%,3%,"30,12","14,62","0,18%"
"9,00",2019,74%,"0,25","1,07","0,72","3,55","21,81","1,46","21,66","12,12","0,81",55%,"6,66",16%,9%,4%,"21,27","11,90","2,79%"
"6,68",2020,82%,"0,26","1,23","0,88","4,20","21,51","1,30","10,87","7,35","0,70",75%,"5,48",20%,10%,7%,"11,88","8,03","6,60%"
