P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"16,87",2001,7%,"0,61","0,91","0,00","5,42","69,10","1,32","12,05","0,00","0,64",0%,"1,26",8%,4%,6%,"274,98","0,00","1,04%"
"5,89",2002,9%,"0,76","0,96","0,00","9,01","73,94","0,72","2,53","0,00","0,29",0%,"0,50",12%,5%,14%,"100,36","0,00","2,69%"
"20,43",2003,5%,"0,77","0,96","0,00","8,76","76,03","2,35","9,33","0,00","0,96",0%,"1,10",12%,5%,12%,"109,65","0,00","1,33%"
"13,02",2004,11%,"0,57","0,79","0,00","20,28","78,87","3,35","7,50","0,00","1,41",0%,"1,42",26%,11%,22%,"59,38","0,00","0,87%"
"9,45",2005,13%,"0,93","0,69","0,00","26,79","73,53","3,44","5,67","0,00","1,18",0%,"1,21",36%,12%,24%,"47,36","0,00","10,77%"
"9,89",2006,14%,"1,01","0,76","0,00","35,80","87,63","4,04","5,99","0,00","1,44",0%,"1,43",41%,15%,28%,"36,13","0,00","8,38%"
"10,62",2007,14%,"1,12","0,72","0,00","3,70","8,98","4,37","6,22","0,00","1,50",0%,"1,46",41%,14%,27%,"34,02","0,00","66,34%"
"7,68",2008,13%,"1,39","0,78","0,00","4,31","9,49","3,49","4,72","0,00","0,99",0%,"0,99",45%,13%,25%,"31,07","0,00","5,08%"
"11,04",2009,10%,"1,29","0,68","0,00","3,08","10,67","3,19","6,39","4,89","1,06",21%,"1,05",29%,10%,19%,"41,01","31,43","7,12%"
"8,34",2010,14%,"1,09","0,68","0,13","4,86","11,48","3,53","4,99","4,10","1,26",29%,"1,18",42%,15%,30%,"26,59","21,89","9,51%"
"22,05",2011,6%,"1,54","0,59","0,03","1,99","10,40","4,21","11,03","7,31","1,22",17%,"1,28",19%,6%,13%,"55,45","36,77","3,15%"
"19,00",2012,7%,"1,12","0,58","0,09","3,08","18,84","3,11","10,42","7,28","1,17",18%,"1,33",16%,6%,13%,"39,92","27,92","3,08%"
"11,26",2013,10%,"1,07","1,07","0,38","5,17","22,17","2,63","6,51","4,97","1,01",22%,"1,10",23%,9%,19%,"25,02","19,11","1,73%"
"9,70",2014,10%,"1,01","1,24","0,65","5,03","25,50","1,91","5,66","4,14","0,78",22%,"0,93",20%,8%,18%,"25,38","18,59","3,52%"
"7,01",2015,11%,"1,20","1,36","0,96","5,65","25,65","1,54","4,19","3,21","0,55",23%,"0,74",22%,8%,21%,"22,52","17,23","14,32%"
"6,48",2016,16%,"1,57","1,52","1,06","7,08","20,34","2,26","3,71","2,97","0,67",35%,"1,03",35%,10%,30%,"16,80","13,47","25,75%"
"12,17",2017,12%,"2,09","1,06","0,55","4,93","15,51","3,87","6,83","5,14","0,90",27%,"1,41",32%,7%,21%,"23,62","17,78","17,63%"
"5,79",2018,20%,"1,34","1,69","0,31","10,15","20,61","2,85","4,21","3,55","0,93",32%,"1,13",49%,16%,27%,"14,95","12,61","8,15%"
"13,79",2019,14%,"10,10","0,99","0,39","10,33","3,92","36,38","8,68","7,51","2,23",26%,"1,98",264%,16%,35%,"13,19","11,41","11,47%"
"15,94",2020,16%,"7,01","1,04","0,31","11,67","5,76","32,31","10,24","9,26","2,91",27%,"2,53",203%,18%,36%,"12,09","10,94","9,33%"
