P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"13,60",2009,45%,---,"1,21","0,00","1,13","0,63","24,26","9,92","9,37","7,03",65%,"6,06",178%,52%,74%,"6,20","5,86","0,00%"
"9,99",2010,46%,---,"1,26","0,12","1,35","0,88","15,32","7,72","7,14","4,85",64%,"4,58",153%,49%,71%,"5,39","4,99","8,25%"
"14,44",2011,43%,"0,11","1,19","0,10","3,34","2,62","18,43","12,20","10,99","5,17",57%,"6,24",128%,36%,76%,"6,00","5,40","3,42%"
"16,07",2012,43%,"0,92","1,37","0,09","3,55","3,49","16,31","13,50","12,11","3,72",57%,"6,87",102%,23%,44%,"5,33","4,78","4,16%"
"19,23",2013,40%,"0,75","1,43","0,07","3,41","4,24","15,48","16,19","14,42","3,87",53%,"7,66",81%,20%,40%,"4,74","4,23","3,58%"
"20,21",2014,42%,"1,70","1,33","0,39","2,06","2,76","15,10","19,13","17,00","3,49",50%,"8,45",75%,17%,33%,"4,80","4,27","4,58%"
"17,30",2015,33%,"1,31","1,57","0,15","1,94","5,40","6,22","14,59","12,08","2,11",47%,"5,68",36%,12%,17%,"5,79","4,79","2,29%"
"15,06",2016,34%,"0,84","1,75","0,34","1,85","5,71","4,88","13,79","11,39","2,06",45%,"5,12",32%,14%,19%,"4,63","3,83","2,01%"
"14,98",2017,37%,"0,60","1,15","0,10","1,57","5,65","4,16","14,75","12,11","0,72",45%,"5,51",28%,5%,18%,"3,75","3,08","3,78%"
"6,79",2018,30%,"0,53","1,16","0,05","1,31","5,47","1,62","6,52","5,21","0,29",40%,"2,07",24%,4%,15%,"4,87","3,89","16,09%"
"14,38",2019,30%,"0,82","1,08","0,11","0,58","3,48","2,40","15,70","12,64","0,24",34%,"4,29",17%,2%,12%,"8,72","7,02","6,09%"
"11,30",2020,24%,"1,09","1,10","0,15","0,44","3,41","1,46","12,04","8,96","0,16",30%,"2,67",13%,1%,9%,"11,89","8,84","2,61%"
