P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,97",2001,11%,"0,34","0,95","0,00","3,31","43,52","0,76","6,19","0,00","0,40",0%,"1,14",8%,4%,7%,"21,33","0,00","1,97%"
"-4,24",2002,-20%,"0,59","0,61","0,00","-6,24","35,22","0,75","-7,84","0,00","0,31",0%,"0,84",-18%,-7%,-4%,"-34,85","0,00","7,79%"
"7,14",2003,21%,"0,59","0,73","0,00","7,39","40,63","1,30","7,33","0,00","0,57",0%,"1,52",18%,8%,8%,"16,76","0,00","2,94%"
"7,61",2004,19%,"0,58","0,86","0,00","8,53","44,87","1,45","5,99","0,00","0,63",0%,"1,47",19%,8%,11%,"11,33","0,00","1,63%"
"7,69",2005,24%,"0,69","0,91","0,00","12,36","44,45","2,14","8,36","6,32","0,78",30%,"1,87",28%,10%,10%,"11,19","8,46","1,45%"
"9,85",2006,18%,"1,00","1,11","0,00","10,65","47,01","2,23","7,39","5,72","0,73",31%,"1,76",23%,7%,10%,"10,13","7,84","5,71%"
"6,85",2007,23%,"0,88","1,32","0,00","4,74","17,91","1,81","4,81","3,89","0,65",40%,"1,54",26%,10%,14%,"7,10","5,74","0,00%"
"6,63",2008,22%,"0,76","1,32","0,00","4,79","19,54","1,63","4,66","3,84","0,65",38%,"1,45",25%,10%,14%,"6,80","5,62","5,60%"
"9,01",2009,19%,"1,10","1,08","0,00","3,51","16,58","1,91","5,93","4,85","0,68",35%,"1,67",21%,8%,12%,"8,16","6,68","12,03%"
"8,06",2010,18%,"1,15","1,26","0,52","3,31","16,82","1,59","4,99","3,95","0,54",36%,"1,42",20%,7%,13%,"7,02","5,55","10,56%"
"9,39",2011,16%,"1,34","0,70","0,26","3,54","17,22","1,93","5,14","4,17","0,61",35%,"1,46",21%,6%,13%,"6,40","5,19","5,29%"
"4,51",2012,23%,"1,34","0,84","0,28","5,01","14,13","1,60","4,72","3,79","0,47",28%,"1,04",35%,10%,12%,"6,81","5,47","17,12%"
"5,68",2013,21%,"0,75","1,13","0,53","2,47","10,04","1,39","4,04","3,40","0,59",35%,"1,21",25%,10%,17%,"5,04","4,24","3,93%"
"5,27",2014,16%,"1,20","0,65","0,19","2,49","8,97","1,47","2,96","2,59","0,47",33%,"0,85",28%,9%,18%,"4,89","4,28","25,04%"
"3,12",2015,12%,"1,17","0,72","0,26","1,96","10,32","0,59","1,88","1,56","0,19",23%,"0,36",19%,6%,12%,"6,71","5,58","9,95%"
"28,89",2016,2%,"1,17","0,72","0,18","0,27","10,27","0,75","5,37","10,00","0,23",5%,"0,52",3%,1%,5%,"15,98","29,72","8,30%"
"8,63",2017,5%,"1,00","0,99","0,24","0,80","11,38","0,60","3,27","2,48","0,20",16%,"0,40",7%,2%,7%,"10,59","8,02","3,49%"
"11,61",2018,8%,"0,93","1,19","0,07","1,19","10,93","1,27","8,10","6,04","0,34",15%,"0,91",11%,3%,4%,"11,56","8,63","4,62%"
"6,43",2019,12%,"0,93","1,28","0,16","2,14","10,89","1,27","6,47","4,95","0,40",16%,"0,79",20%,6%,7%,"9,38","7,17","5,22%"
"7,14",2020,9%,"1,00","1,35","0,30","1,56","10,85","1,03","6,65","4,76","0,32",13%,"0,64",14%,5%,5%,"11,92","8,53","2,42%"
