P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"16,11",1998,6%,0.31,0.90,0.00,"0,19","2,86","1,05","19,46","0,00","0,49",0%,"0,93",7%,3%,3%,"185,75","0,00","0,00%"
"10,15",1999,14%,0.12,1.13,0.00,"0,51","7,94","0,65","8,18","0,00","0,45",0%,"1,39",6%,4%,6%,"45,57","0,00","0,00%"
"10,92",2000,12%,0.17,0.80,0.00,"0,56","7,86","0,78","8,88","0,00","0,50",0%,"1,36",7%,5%,6%,"42,36","0,00","0,00%"
"5,97",2001,13%,0.36,0.49,0.00,"0,77","7,73","0,60","4,09","0,00","0,31",0%,"0,80",10%,5%,8%,"27,19","0,00","8,48%"
"5,31",2002,10%,0.68,1.08,0.00,"0,57","7,51","0,40","2,90","0,00","0,19",0%,"0,51",8%,4%,7%,"31,76","0,00","16,00%"
"6,74",2003,10%,0.61,1.09,0.00,"0,63","7,30","0,58","4,08","0,00","0,27",0%,"0,64",9%,4%,7%,"30,93","0,00","19,81%"
"15,27",2004,3%,0.56,1.21,0.00,"0,27","7,36","0,56","6,90","0,00","0,27",0%,"0,48",4%,2%,4%,"53,35","0,00","5,34%"
"5,61",2005,12%,0.84,0.99,0.00,"1,27","4,71","1,51","4,61","0,00","0,46",0%,"0,70",27%,8%,11%,"20,57","0,00","8,59%"
"5,83",2006,18%,0.62,0.75,0.00,"1,97","5,01","2,29","4,20","0,00","0,71",0%,"1,05",39%,12%,18%,"11,33","0,00","4,72%"
"6,64",2007,15%,0.66,0.73,0.00,"3,24","10,92","1,97","4,59","0,00","0,65",0%,"0,98",30%,10%,16%,"13,38","0,00","0,00%"
"5,03",2008,18%,0.90,0.75,0.00,"4,47","11,78","1,91","3,86","0,00","0,63",0%,"0,91",38%,13%,17%,"11,33","0,00","13,97%"
"7,11",2009,16%,0.85,0.88,0.00,"4,34","13,33","2,31","5,36","0,00","0,83",0%,"1,12",33%,12%,16%,"11,62","0,00","10,96%"
"4,65",2010,17%,0.62,0.67,0.10,"6,08","17,42","1,62","3,32","2,73","0,72",28%,"0,77",35%,15%,24%,"7,63","6,27","9,70%"
"5,67",2011,18%,0.74,1.10,0.39,"6,08","18,89","1,82","4,31","3,55","0,80",29%,"1,02",32%,14%,22%,"8,18","6,74","12,39%"
"8,32",2012,15%,0.61,1.14,0.27,"5,41","20,04","2,25","6,45","5,33","0,98",23%,"1,21",27%,12%,17%,"9,32","7,70","7,89%"
"20,57",2013,6%,0.59,1.06,0.15,"2,04","20,11","2,09","13,08","8,14","0,97",14%,"1,15",10%,5%,9%,"20,54","12,78","6,55%"
"12,22",2014,7%,0.74,1.48,0.23,"3,24","22,03","1,80","5,96","4,39","0,76",19%,"0,85",15%,6%,15%,"10,44","7,69","2,50%"
"7,70",2015,9%,0.65,1.15,0.05,"4,68","25,75","1,40","5,55","4,24","0,61",16%,"0,68",18%,8%,13%,"11,00","8,40","1,50%"
"9,90",2016,10%,0.47,1.07,0.11,"5,05","29,71","1,68","6,96","0,00","0,79",0%,"0,95",17%,8%,13%,"9,36","0,00","1,86%"
"9,73",2017,10%,0.50,0.94,0.12,"5,63","33,16","1,65","6,89","5,28","0,75",18%,"0,93",17%,8%,13%,"8,69","6,65","3,63%"
"10,18",2018,7%,0.66,0.91,0.08,"4,71","36,76","1,31","7,20","5,04","0,58",15%,"0,73",13%,6%,9%,"11,65","8,16","2,27%"
"11,97",2019,8%,0.70,1.05,0.08,"5,21","40,00","1,56","8,62","5,82","0,56",16%,"0,90",13%,5%,7%,"11,24","7,59","0,00%"
"9,02",2020,9%,0.84,1.04,0.10,"6,19","41,14","1,36","6,60","4,64","0,48",17%,"0,78",15%,5%,8%,"10,27","7,22","0,00%"
