P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"24,21",2004,5%,"1,19","1,08","0,00","0,74","9,37","1,92","6,42","0,00","0,64",0%,"1,20",8%,3%,11%,"32,80","0,00","0,00%"
"12,27",2005,14%,"1,04","0,91","0,00","2,28","10,00","2,80","7,63","6,14","0,97",28%,"1,74",23%,8%,13%,"23,52","18,92","4,25%"
"10,00",2006,16%,"1,06","0,98","0,00","3,00","10,15","2,96","5,85","4,90","1,02",33%,"1,61",30%,10%,19%,"16,89","14,17","7,73%"
"9,79",2007,18%,"1,24","0,97","0,00","3,44","10,51","3,20","5,40","4,75","1,04",36%,"1,72",33%,11%,20%,"14,26","12,55","9,68%"
"11,25",2008,13%,"1,40","0,88","0,00","2,68","10,64","2,83","6,19","4,99","0,89",30%,"1,49",25%,8%,15%,"18,66","15,02","9,12%"
"13,01",2009,12%,"1,48","0,93","0,00","2,72","10,77","3,28","7,70","6,10","1,00",26%,"1,60",25%,8%,14%,"20,01","15,87","6,94%"
"12,69",2010,13%,"1,39","0,88","0,36","3,25","14,03","2,94","7,23","5,78","0,99",29%,"1,65",23%,8%,16%,"16,14","12,89","7,21%"
"15,80",2011,12%,"1,59","1,19","0,61","1,65","8,89","2,93","8,20","6,50","0,91",30%,"1,96",19%,6%,13%,"15,49","12,27","6,88%"
"16,36",2012,8%,"2,04","1,08","0,48","1,31","8,74","2,45","7,43","5,28","0,66",26%,"1,37",15%,4%,10%,"18,42","13,10","6,82%"
"19,36",2013,6%,"1,93","1,48","0,86","0,99","9,14","2,09","7,38","5,18","0,59",24%,"1,26",11%,3%,10%,"19,76","13,88","4,45%"
"20,04",2014,5%,"2,04","1,24","0,59","0,92","9,75","1,90","6,84","4,73","0,51",22%,"1,03",9%,3%,9%,"19,69","13,62","5,57%"
"17,21",2015,4%,"2,15","1,31","0,60","0,88","10,20","1,49","6,11","4,02","0,37",19%,"0,75",9%,2%,8%,"21,24","13,99","0,00%"
"29,13",2016,5%,"2,13","1,26","0,68","0,87","10,19","2,47","9,05","6,22","0,61",22%,"1,34",8%,2%,9%,"18,44","12,68","0,83%"
"15,83",2017,5%,"1,80","0,84","0,29","1,22","10,99","1,76","5,91","4,05","0,48",18%,"0,74",11%,3%,10%,"16,00","10,97","1,14%"
"13,55",2018,8%,"1,63","1,12","0,22","2,13","12,31","2,34","7,26","5,21","0,70",20%,"1,04",17%,5%,11%,"13,58","9,74","0,97%"
"14,90",2019,9%,"1,42","1,03","0,28","2,39","11,53","3,08","8,69","6,41","0,93",21%,"1,37",21%,6%,12%,"11,15","8,22","0,00%"
"11,68",2020,10%,"1,56","1,36","0,57","2,68","12,62","2,48","7,41","5,49","0,75",22%,"1,20",21%,6%,12%,"11,02","8,16","0,00%"
