P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-8,55",2002,-12%,"0,47","1,30","0,00","-1,17","17,27","0,58","47,18","0,00","0,32",0%,"1,03",-7%,-4%,1%,"337,26","0,00","3,50%"
"21,89",2003,6%,"0,40","1,10","0,00","0,62","17,75","0,77","35,11","0,00","0,41",0%,"1,24",3%,2%,1%,"182,13","0,00","0,00%"
"8,00",2004,10%,"0,35","0,73","0,00","1,45","18,93","0,61","5,32","0,00","0,32",0%,"0,81",8%,4%,7%,"32,12","0,00","1,38%"
"9,47",2005,11%,"0,36","1,06","0,00","1,90","20,57","0,87","6,18","4,36","0,45",23%,"1,01",9%,5%,8%,"24,36","17,17","2,06%"
"5,44",2006,23%,"0,39","1,17","0,00","4,59","24,29","1,03","4,35","3,50","0,57",36%,"1,27",19%,11%,14%,"12,67","10,22","1,88%"
"6,44",2007,21%,"0,28","1,74","0,00","4,16","27,29","0,98","4,65","3,65","0,59",37%,"1,35",15%,9%,13%,"12,33","9,69","4,03%"
"5,99",2008,20%,"0,22","1,82","0,00","4,01","30,30","0,79","4,50","3,52","0,50",34%,"1,20",13%,8%,11%,"13,15","10,30","4,29%"
"9,65",2009,19%,"0,18","2,08","0,00","3,84","33,19","1,12","7,44","5,78","0,73",31%,"1,80",12%,8%,10%,"13,96","10,85","4,45%"
"11,23",2010,15%,"0,18","1,64","0,94","3,69","41,27","1,01","10,99","7,21","0,64",23%,"1,65",9%,6%,7%,"16,40","10,75","1,54%"
"9,05",2011,15%,"0,18","1,80","0,79","4,30","44,10","0,88","7,83","5,57","0,56",25%,"1,37",10%,6%,8%,"13,16","9,35","4,16%"
"11,90",2012,9%,"0,26","1,65","0,76","2,66","45,67","0,69","8,66","5,60","0,41",18%,"1,02",6%,3%,6%,"18,42","11,90","2,37%"
"7,58",2013,12%,"0,35","1,40","0,64","4,03","47,24","0,65","6,81","4,57","0,36",20%,"0,91",9%,5%,6%,"16,09","10,79","7,47%"
"7,36",2014,10%,"0,44","1,29","0,30","4,88","50,00","0,72","5,75","4,20","0,38",17%,"0,71",10%,5%,7%,"12,98","9,48","6,60%"
"5,25",2015,9%,"0,53","1,45","0,39","4,63","53,29","0,46","3,48","2,57","0,23",18%,"0,45",9%,4%,8%,"12,16","8,98","3,83%"
"7,89",2016,7%,"0,58","0,78","0,23","3,47","55,38","0,49","3,66","5,61","0,25",10%,"0,57",6%,3%,7%,"12,18","18,64","4,57%"
"6,10",2017,8%,"0,63","0,93","0,18","4,09","56,75","0,44","3,18","2,37","0,21",21%,"0,49",7%,3%,7%,"12,14","9,06","11,86%"
"5,79",2018,10%,"0,71","1,00","0,31","5,28","59,70","0,51","3,49","2,66","0,23",21%,"0,56",9%,4%,7%,"11,21","8,54","3,80%"
"9,16",2019,13%,"0,66","1,48","0,55","7,54","64,31","1,07","5,92","4,41","0,49",26%,"1,16",12%,5%,9%,"8,14","6,06","0,55%"
"8,49",2020,13%,"0,62","1,53","0,58","7,56","66,17","0,97","5,51","4,30","0,46",25%,"1,07",11%,5%,9%,"8,00","6,24","0,00%"
