P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-68,77",2005,-4%,"0,62","3,08","0,00","-0,99","21,73","3,14","47,91","14,39","1,27",17%,"2,46",-5%,-2%,3%,"305,43","91,73","0,00%"
"41,59",2006,6%,"1,91","5,24","0,00","1,07","8,32","5,37","14,89","9,44","1,36",24%,"2,30",13%,3%,9%,"51,75","32,79","0,00%"
"46,09",2007,5%,"0,69","6,23","0,00","0,45","12,29","1,69","-14,07","21,68","0,78",10%,"2,20",4%,2%,-6%,"-71,13","109,64","1,92%"
"-8,23",2008,-9%,"1,18","1,45","0,00","-1,37","11,39","0,99","-183,89","6,13","0,33",13%,"0,77",-12%,-4%,0%,"-1.536,51","51,18","0,00%"
"15,52",2009,6%,"1,16","1,80","0,00","1,65","12,22","2,10","17,87","9,09","0,78",10%,"0,95",13%,5%,5%,"55,14","28,04","0,00%"
"13,69",2010,5%,"1,12","1,60","0,00","2,02","15,55","1,78","9,05","5,42","0,62",12%,"0,63",13%,5%,7%,"26,98","16,17","1,77%"
"3,68",2011,13%,"0,54","2,05","0,50","7,34","23,22","1,16","2,29","1,90","0,48",25%,"0,48",32%,13%,23%,"6,33","5,24","1,81%"
"18,76",2012,3%,"0,87","1,59","0,52","2,23","33,24","1,26","12,86","6,44","0,49",10%,"0,62",7%,3%,4%,"27,13","13,58","1,49%"
"24,96",2013,4%,"0,65","1,34","0,56","1,59","33,39","1,19","9,28","6,12","0,56",17%,"1,04",5%,2%,7%,"19,51","12,87","1,87%"
"18,21",2014,8%,"0,59","1,34","0,61","1,58","30,67","0,94","7,90","6,76","0,43",21%,"1,44",5%,2%,6%,"21,73","18,58","2,56%"
"10,58",2015,11%,"0,78","1,54","0,94","2,38","30,88","0,82","5,04","3,95","0,34",31%,"1,21",8%,3%,8%,"16,25","12,72","2,70%"
"11,16",2016,18%,"0,85","1,96","1,24","3,42","26,50","1,44","5,56","4,56","0,57",45%,"2,06",13%,5%,13%,"11,27","9,24","5,64%"
"11,20",2017,20%,"0,94","1,56","0,63","3,70","25,24","1,64","5,91","4,89","0,59",45%,"2,21",15%,5%,12%,"11,47","9,49","2,24%"
"7,17",2018,18%,"0,91","1,90","0,68","4,67","26,78","1,25","4,96","4,11","0,47",32%,"1,33",17%,7%,11%,"12,21","10,11","3,32%"
"11,04",2019,18%,"1,21","1,84","0,99","6,30","28,06","2,48","7,62","6,58","0,83",31%,"2,02",22%,8%,14%,"9,36","8,08","1,44%"
"12,21",2020,16%,"1,19","1,97","0,69","5,51","28,98","2,32","7,19","6,44","0,80",29%,"1,90",19%,7%,13%,"9,93","8,89","2,23%"
