P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"8,09",2008,10%,"0,48","2,30","1,45","2,32","29,83","0,63","6,74","3,82","0,34",20%,"0,78",8%,4%,6%,"25,47","14,43","1,28%"
"7,39",2009,16%,"0,51","1,49","0,41","4,50","32,75","1,02","5,88","4,24","0,55",28%,"1,17",14%,7%,10%,"13,81","9,96","4,12%"
"4,93",2010,21%,"0,50","0,96","0,11","5,82","36,62","0,78","3,48","2,60","0,45",39%,"1,02",16%,9%,13%,"9,88","7,38","6,41%"
"8,24",2011,14%,"0,62","0,85","0,25","4,05","39,44","0,85","5,22","3,65","0,46",33%,"1,19",10%,6%,9%,"13,48","9,44","4,94%"
"10,82",2012,14%,"0,61","1,45","0,58","4,04","41,69","1,05","6,85","4,58","0,58",32%,"1,49",10%,5%,9%,"12,98","8,68","2,79%"
"10,58",2013,11%,"0,59","1,18","0,28","3,52","44,59","0,83","6,12","3,85","0,47",31%,"1,19",8%,4%,8%,"14,10","8,86","3,44%"
"9,45",2014,8%,"0,62","1,16","0,32","2,67","46,26","0,54","4,86","2,72","0,30",27%,"0,73",6%,3%,6%,"16,87","9,44","4,49%"
"-168,65",2015,0%,"0,64","1,39","0,53","-0,09","47,17","0,33","5,89","2,15","0,17",23%,"0,48",0%,0%,3%,"32,90","11,99","0,58%"
"10,61",2016,11%,"0,58","1,52","0,56","3,44","46,99","0,78","5,77","3,30","0,42",35%,"1,14",7%,4%,8%,"12,70","7,27","1,18%"
"9,79",2017,13%,"0,50","1,36","0,33","4,43","49,26","0,88","5,74","3,62","0,51",35%,"1,27",9%,5%,9%,"10,51","6,62","4,82%"
"13,45",2018,12%,"0,57","1,39","0,23","4,58","49,12","1,25","8,45","5,23","0,70",31%,"1,65",9%,5%,9%,"11,47","7,10","6,55%"
"11,38",2019,15%,"0,49","1,65","0,47","5,97","53,20","1,28","7,45","4,90","0,75",34%,"1,67",11%,7%,11%,"8,76","5,77","1,32%"
"10,00",2020,14%,"0,49","1,76","0,62","5,76","54,11","1,06","6,22","4,07","0,62",34%,"1,40",11%,6%,11%,"8,51","5,58","1,16%"
