P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"8,73",2001,8%,"1,09","0,76","0,00","4,18","71,35","0,51","3,95","0,00","0,19",0%,"0,66",6%,2%,5%,"30,65","0,00","92,55%"
"-18,82",2002,-4%,"1,39","0,89","0,00","-2,72","68,24","0,75","-2,51","0,00","0,24",0%,"0,71",-4%,-1%,-10%,"-14,73","0,00","3,81%"
"10,88",2003,15%,"1,21","1,49","0,00","14,40","103,43","1,52","5,31","0,00","0,50",0%,"1,61",14%,5%,10%,"11,20","0,00","7,12%"
"7,09",2004,20%,"1,27","1,40","0,00","7,16","24,03","2,11","3,77","0,00","0,57",0%,"1,44",30%,8%,16%,"6,22","0,00","19,93%"
"6,47",2005,20%,"1,36","1,69","0,00","7,77","25,07","2,01","3,57","0,00","0,53",0%,"1,29",31%,8%,16%,"6,47","0,00","16,34%"
"14,20",2006,13%,"1,54","1,84","0,00","4,54","23,79","2,71","6,42","0,00","0,66",0%,"1,84",19%,5%,11%,"9,33","0,00","4,34%"
"13,83",2007,26%,"1,16","1,23","0,00","11,39","29,40","5,36","11,17","0,00","1,49",0%,"3,53",39%,11%,14%,"6,49","0,00","3,67%"
"3,81",2008,41%,"2,18","1,90","0,00","7,61","8,78","3,30","2,31","2,24","0,70",70%,"1,57",87%,18%,32%,"3,08","2,98","6,62%"
"15,71",2009,24%,"2,57","2,65","0,00","3,57","7,67","7,30","11,53","9,33","1,40",40%,"3,72",46%,9%,12%,"8,21","6,65","4,16%"
"15,45",2010,17%,"2,57","3,55","2,30","1,73","5,36","4,97","7,79","6,71","1,03",40%,"2,69",32%,7%,18%,"4,93","4,24","3,86%"
"5,95",2011,22%,"3,31","3,38","2,37","2,52","5,77","2,59","3,79","3,26","0,47",41%,"1,32",44%,8%,19%,"4,72","4,06","8,48%"
"-36,02",2012,-3%,"3,35","3,30","2,25","-0,33","6,18","1,92","26,93","9,24","0,35",11%,"1,02",-5%,-1%,2%,"47,40","16,25","8,68%"
"39,11",2013,3%,"3,44","2,95","1,80","0,37","5,53","2,60","6,72","4,90","0,42",25%,"1,21",7%,1%,8%,"10,40","7,60","4,31%"
"-68,32",2014,-1%,"5,21","2,50","1,37","-0,08","4,22","1,32","2,69","1,85","0,15",25%,"0,47",-2%,0%,7%,"12,74","8,76","13,98%"
"3,36",2015,11%,"3,92","3,09","1,62","1,19","6,44","0,62","1,05","0,85","0,11",41%,"0,35",19%,3%,13%,"7,80","6,35","5,00%"
"-17,86",2016,-5%,"4,12","2,26","1,02","-0,61","5,32","2,04","7,74","4,61","0,34",19%,"0,88",-11%,-2%,5%,"20,32","12,10","0,00%"
"103,82",2017,1%,"3,56","1,11","0,39","0,08","5,97","1,40","3,90","2,62","0,26",24%,"0,63",1%,0%,8%,"13,43","9,03","0,00%"
"2,36",2018,23%,"2,88","1,05","0,27","3,75","7,22","1,22","1,77","1,49","0,26",36%,"0,53",52%,11%,17%,"5,82","4,92","0,00%"
"8,72",2019,9%,"2,46","1,10","0,32","1,62","8,19","1,72","5,53","3,87","0,38",20%,"0,77",20%,4%,8%,"11,00","7,70","6,73%"
"18,55",2020,3%,"6,59","1,20","0,41","0,61","3,90","2,90","6,39","3,84","0,30",16%,"0,63",16%,2%,6%,"18,48","11,12","2,65%"
