P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"33,05",2005,21%,"0,33","2,07","0,00","0,97","7,38","4,34","30,70","0,00","2,68",0%,"6,92",13%,8%,9%,"55,82","0,00","0,00%"
"26,77",2006,24%,"0,06","3,36","0,00","0,76","5,78","3,53","29,14","28,56","2,38",23%,"6,48",13%,9%,9%,"33,95","33,26","2,21%"
"19,13",2007,26%,"0,36","2,54","0,00","1,27","6,38","3,79","17,93","17,53","1,82",29%,"5,04",20%,10%,10%,"18,98","18,57","1,07%"
"9,86",2008,12%,"0,86","1,73","0,00","0,93","6,77","1,36","7,21","8,37","0,43",14%,"1,15",14%,4%,6%,"22,82","26,49","0,43%"
"12,05",2009,21%,"0,64","1,77","0,00","2,03","9,72","2,52","10,48","10,27","0,98",25%,"2,53",21%,8%,10%,"11,06","10,83","0,78%"
"13,45",2010,14%,"0,73","2,09","0,22","1,62","11,07","1,97","12,32","11,43","0,77",17%,"1,89",15%,6%,7%,"14,50","13,46","2,15%"
"10,29",2011,10%,"0,93","2,19","0,21","1,44","11,99","1,24","8,34","7,98","0,45",12%,"0,99",12%,4%,6%,"16,45","15,74","2,29%"
"9,46",2012,13%,"0,78","2,27","0,40","1,89","13,09","1,37","8,00","7,00","0,53",18%,"1,26",14%,6%,8%,"11,71","10,24","1,62%"
"6,47",2013,17%,"0,68","2,24","0,40","2,23","15,21","0,95","5,74","5,22","0,41",21%,"1,08",15%,6%,8%,"10,71","9,75","3,47%"
"5,10",2014,14%,"0,61","2,13","0,31","2,17","16,63","0,67","4,41","4,04","0,32",18%,"0,73",13%,6%,8%,"11,35","10,39","0,00%"
"4,79",2015,14%,"0,56","2,78","0,71","1,56","17,62","0,43","4,22","3,75","0,22",17%,"0,65",9%,5%,7%,"14,68","13,04","0,00%"
"16,69",2016,8%,"0,51","3,48","0,67","0,62","16,93","0,61","17,11","12,20","0,35",11%,"1,28",4%,2%,2%,"42,45","30,26","2,73%"
"-480,42",2017,0%,"0,40","3,01","0,56","-0,03","15,92","0,83","310,86","73,08","0,51",3%,"1,98",0%,0%,0%,"566,22","133,11","0,68%"
"883,59",2018,0%,"0,43","3,53","0,84","0,02","13,85","1,12","116,70","54,35","0,63",4%,"1,97",0%,0%,1%,"174,75","81,38","7,24%"
"22,23",2019,14%,"0,48","2,44","0,62","1,34","12,95","2,29","20,12","17,86","1,19",17%,"3,02",10%,5%,7%,"15,99","14,20","6,13%"
"16,08",2020,13%,"0,48","2,38","0,55","1,31","13,03","1,61","14,60","13,08","0,82",17%,"2,17",10%,5%,7%,"16,56","14,83","8,67%"
