P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"17,67",2009,23%,"0,18","5,14","0,00","0,65","5,10","2,25","17,47","16,66","1,40",24%,"4,03",13%,8%,8%,"21,17","20,19","0,00%"
"10,78",2010,21%,"0,37","3,18","0,46","1,25","6,20","2,18","11,32","10,90","1,07",21%,"2,30",20%,10%,11%,"11,52","11,09","1,04%"
"8,00",2011,17%,"0,38","2,87","0,53","1,19","8,04","1,18","8,13","7,74","0,59",18%,"1,36",15%,7%,9%,"10,28","9,79","3,16%"
"9,43",2012,17%,"0,53","3,38","0,60","1,50","9,23","1,53","9,64","9,26","0,72",17%,"1,59",16%,8%,9%,"9,02","8,66","1,91%"
"7,77",2013,14%,"0,56","3,30","0,73","1,54","10,48","1,15","7,08","6,68","0,53",16%,"1,05",15%,7%,9%,"7,98","7,53","3,00%"
"5,36",2014,13%,"0,55","3,17","0,78","1,51","11,32","0,72","5,09","4,72","0,31",14%,"0,68",13%,6%,8%,"8,20","7,60","7,52%"
"3,29",2015,10%,"0,47","3,64","0,75","1,07","12,15","0,29","3,15","2,50","0,13",13%,"0,33",9%,4%,5%,"12,61","10,00","12,82%"
"0,00",2016,0%,"0,52","3,34","0,75","0,00","11,94","0,38","166,80","23,39","0,16",2%,"0,49",0%,0%,0%,"514,47","72,14","5,92%"
"-6,04",2017,-18%,"0,56","3,35","0,69","-0,94","10,95","0,52","-6,27","-7,60","0,20",-14%,"1,10",-9%,-3%,-4%,"-16,13","-19,56","0,00%"
"-15,98",2018,-6%,"0,72","2,95","1,12","-0,47","9,08","0,83","-38,35","-107,70","0,25",-1%,"0,99",-5%,-2%,-1%,"-61,90","-173,83","8,13%"
"18,19",2019,8%,"0,64","4,52","1,41","0,82","9,25","1,62","11,50","9,69","0,48",16%,"1,52",9%,3%,5%,"9,65","8,14","5,87%"
"15,56",2020,8%,"0,69","4,25","1,46","0,76","9,40","1,27","9,66","8,21","0,36",15%,"1,26",8%,2%,5%,"10,30","8,75","4,21%"
