P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"65,65",2009,8%,0.59,1.37,0.00,"0,25","5,18","3,13","43,64","24,53","1,71",21%,"5,16",5%,3%,4%,"56,71","31,88","0,00%"
"17,43",2010,17%,0.46,1.96,0.72,"1,02","7,54","2,37","11,41","7,51","1,32",40%,"2,98",14%,8%,13%,"12,86","8,47","0,00%"
"12,97",2011,13%,0.52,1.69,0.64,"0,69","6,74","1,32","8,47","4,86","0,72",34%,"1,65",10%,6%,10%,"16,33","9,36","0,00%"
"17,69",2012,14%,0.60,1.86,0.81,"0,84","7,32","2,03","11,77","6,84","1,05",35%,"2,40",11%,6%,11%,"13,85","8,05","0,00%"
"15,27",2013,13%,0.56,1.98,0.76,"0,86","7,23","1,82","9,93","5,57","0,97",37%,"2,05",12%,6%,11%,"12,12","6,80","0,00%"
"13,48",2014,10%,0.61,1.79,0.69,"0,60","6,95","1,16","8,57","4,34","0,61",31%,"1,34",9%,4%,8%,"16,04","8,11","0,00%"
"20,38",2015,5%,0.61,2.14,0.70,"0,29","6,96","0,85","12,00","4,29","0,43",23%,"0,99",4%,2%,4%,"31,12","11,13","4,58%"
"180,93",2016,1%,0.76,2.69,1.18,"0,04","6,61","1,03","14,84","5,22","0,50",23%,"1,20",1%,0%,4%,"32,41","11,40","0,00%"
"34,40",2017,5%,0.67,1.95,0.69,"0,27","6,82","1,35","15,12","6,45","0,67",25%,"1,60",4%,2%,5%,"24,54","10,47","1,09%"
"18,86",2018,9%,0.62,1.76,0.56,"0,63","6,70","1,77","11,15","5,29","0,85",31%,"1,65",9%,5%,9%,"13,53","6,42","6,76%"
"28,42",2019,8%,0.60,1.64,0.58,"0,59","7,13","2,35","18,07","8,51","1,08",27%,"2,31",8%,4%,7%,"15,53","7,31","0,00%"
"19,53",2020,9%,0.71,1.92,0.69,"0,63","6,91","1,78","12,08","6,08","0,81",27%,"1,67",9%,4%,8%,"14,64","7,37","3,01%"
