P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"12,00",2009,20%,"2,69","0,48","0,00","1,06","3,20","4,00","7,35","6,42","1,71",78%,"4,99",33%,14%,30%,"8,60","7,51","1,80%"
"20,09",2010,42%,"0,99","0,97","0,78","0,69","3,37","4,13","9,89","8,15","1,88",52%,"4,27",21%,9%,23%,"10,79","8,89","3,66%"
"22,52",2011,21%,"0,89","1,02","0,74","0,77","3,80","4,55","10,13","8,12","1,56",49%,"4,01",20%,7%,19%,"10,24","8,20","2,02%"
"20,55",2012,18%,"1,55","0,91","0,68","0,72","3,76","3,94","8,60","6,91","1,27",45%,"3,13",19%,6%,18%,"10,42","8,37","5,27%"
"12,46",2013,15%,"1,76","1,17","0,98","0,86","3,21","3,33","5,34","4,18","0,89",48%,"2,02",27%,7%,19%,"9,90","7,74","13,41%"
"24,21",2014,16%,"2,35","0,72","0,52","0,21","2,94","1,73","2,99","2,16","0,36",45%,"0,98",7%,1%,14%,"12,60","9,09","8,25%"
"-4,88",2015,4%,"3,22","0,65","0,48","-1,69","1,02","8,08","5,97","4,15","0,70",39%,"1,63",-166%,-14%,13%,"15,16","10,53","0,97%"
"16,60",2016,-34%,"8,62","0,69","0,39","0,74","1,35","9,09","5,67","4,22","0,88",51%,"2,15",55%,5%,20%,"9,73","7,23","3,41%"
"13,61",2017,13%,"7,93","1,22","0,95","0,69","1,15","8,19","4,42","3,24","0,52",51%,"1,65",60%,4%,16%,"10,34","7,57","7,68%"
"-49,23",2018,12%,"11,73","1,54","1,35","-0,33","0,81","20,01","11,46","6,68","0,79",34%,"2,30",-41%,-2%,8%,"17,76","10,36","0,00%"
"-39,26",2019,-5%,"19,07","0,58","0,50","-0,33","0,81","15,96","9,14","5,33","0,63",34%,"1,84",-41%,-2%,8%,"17,76","10,36","0,00%"
