P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-12,48",2001,28%,0.70,1.24,0.00,"-0,28","4,23","0,83","6,04","0,00","0,34",0%,"1,66",-7%,-3%,6%,"100,35","0,00","4,29%"
"10,09",2002,-13%,1.07,1.30,0.00,"0,79","3,98","2,01","7,51","0,00","0,85",0%,"2,86",20%,8%,12%,"53,57","0,00","7,99%"
"8,23",2003,28%,0.89,0.88,0.00,"1,19","4,27","2,30","6,16","0,00","1,03",0%,"2,59",28%,13%,17%,"35,62","0,00","7,96%"
"10,65",2004,31%,0.72,0.97,0.00,"1,41","4,11","3,66","8,14","0,00","1,72",0%,"3,78",34%,16%,22%,"30,24","0,00","9,10%"
"11,98",2005,35%,0.57,0.71,0.00,"1,50","4,23","4,25","8,49","7,88","2,12",55%,"4,34",35%,18%,26%,"26,20","24,32","8,50%"
"13,27",2006,36%,0.46,0.64,0.00,"1,61","4,31","4,94","8,58","7,49","2,11",61%,"4,57",37%,16%,26%,"22,70","19,82","6,62%"
"10,84",2007,34%,0.64,0.85,0.00,"1,71","4,86","3,82","6,32","5,55","1,45",63%,"3,52",35%,13%,24%,"19,82","17,41","10,03%"
"12,37",2008,32%,0.94,0.50,0.00,"1,74","5,64","3,82","7,65","6,45","1,46",62%,"4,02",31%,12%,20%,"20,89","17,63","3,86%"
"14,77",2009,32%,0.93,1.27,0.00,"1,86","7,77","3,53","8,33","6,86","1,39",64%,"4,37",24%,9%,19%,"17,79","14,65","3,32%"
"13,49",2010,30%,0.88,0.84,0.52,"2,22","8,35","3,59","8,12","6,72","1,58",67%,"4,52",27%,12%,21%,"15,71","13,01","5,47%"
"14,50",2011,34%,0.67,1.03,0.50,"2,30","8,37","3,99","8,54","7,00","1,78",63%,"4,43",27%,12%,23%,"14,65","12,01","4,44%"
"16,30",2012,31%,0.65,1.17,0.70,"2,20","8,22","4,37","9,82","7,90","1,85",53%,"4,21",27%,11%,22%,"15,60","12,54","6,79%"
"15,94",2013,26%,0.65,1.07,0.56,"2,12","8,66","3,91","9,58","7,63","1,62",45%,"3,41",24%,10%,20%,"16,24","12,93","4,82%"
"14,54",2014,21%,0.72,1.68,0.82,"2,30","10,18","3,29","8,73","7,04","1,43",48%,"3,36",23%,10%,20%,"14,71","11,86","3,64%"
"14,74",2015,23%,0.64,1.49,0.80,"2,37","10,13","3,45","9,43","7,49","1,58",47%,"3,55",23%,11%,20%,"14,97","11,88","5,63%"
"11,55",2016,24%,0.47,1.86,1.01,"3,07","10,47","3,39","8,13","6,62","1,18",50%,"3,31",29%,10%,17%,"13,96","11,38","7,66%"
"11,63",2017,29%,0.99,0.66,0.34,"2,84","7,75","4,26","7,35","6,23","1,14",49%,"3,06",37%,10%,18%,"11,53","9,77","7,84%"
"17,92",2018,26%,1.54,1.09,0.58,"2,83","8,58","5,92","9,65","8,04","1,38",53%,"4,23",33%,8%,17%,"10,68","8,89","3,17%"
"15,08",2019,24%,2.11,1.13,0.65,"2,83","8,58","4,98","8,12","6,76","1,16",53%,"3,56",33%,8%,17%,"10,68","8,89","3,56%"
