P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"32,92",2009,5%,"0,45","2,17","1,33","1,10","61,27","0,59","10,16","7,25","0,30",22%,"1,59",2%,1%,3%,"13,00","9,28","4,24%"
"9,86",2010,9%,"0,50","1,79","0,98","2,26","62,29","0,36","5,71","4,19","0,17",20%,"0,84",4%,2%,4%,"12,68","9,32","52,97%"
"6,41",2011,11%,"0,59","1,40","0,74","2,78","57,08","0,31","5,22","3,80","0,15",19%,"0,73",5%,2%,3%,"14,08","10,26","4,88%"
"-1,24",2012,-18%,"0,78","1,44","0,47","-5,12","49,74","0,13","-1,08","-1,39","0,05",-16%,"0,22",-10%,-4%,-5%,"-9,67","-12,45","20,22%"
"-1,26",2013,-22%,"0,57","1,52","0,41","-4,65","44,87","0,13","-1,53","-2,15","0,06",-13%,"0,28",-10%,-5%,-4%,"-12,18","-17,14","6,98%"
"-2,65",2014,-10%,"0,73","1,58","0,36","-2,19","42,03","0,14","-4,01","-43,75","0,05",-1%,"0,26",-5%,-2%,-2%,"-37,70","-411,47","7,07%"
"-0,52",2015,-46%,"1,16","1,05","0,32","-11,05","30,86","0,19","-0,62","-0,73","0,05",-33%,"0,24",-36%,-10%,-10%,"-6,25","-7,32","0,00%"
"8,78",2016,6%,"1,07","0,94","0,25","2,60","32,58","0,70","1,72","1,56","0,18",33%,"0,51",8%,2%,12%,"4,35","3,95","0,00%"
"-15,17",2017,-5%,"1,09","1,09","0,26","-1,27","31,61","0,61","5,24","3,88","0,15",18%,"0,69",-4%,-1%,3%,"15,35","11,37","0,00%"
"2,46",2018,53%,"1,00","1,28","0,23","9,87","41,41","0,59","1,79","1,64","0,18",80%,"1,31",24%,7%,11%,"4,72","4,32","0,00%"
"4,76",2019,39%,"0,69","1,59","0,55","7,94","52,78","0,72","6,05","4,98","0,29",37%,"1,84",15%,6%,5%,"8,78","7,23","0,00%"
"4,02",2020,34%,"0,72","1,74","0,63","7,17","52,88","0,55","4,71","3,82","0,22",36%,"1,38",14%,5%,5%,"9,09","7,37","0,00%"
