P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"3,34",1998,10%,"1,95","0,96","0,00","3,12","8,61","1,21","2,67","0,00","0,25",0%,"0,32",36%,7%,10%,"37,93","0,00","0,00%"
"9,65",1999,13%,"1,89","1,23","0,00","0,93","1,45","6,21","7,29","0,00","1,25",0%,"1,29",64%,13%,19%,"12,92","0,00","0,00%"
"9,16",2000,14%,"0,69","1,52","0,00","1,35","2,86","4,32","6,41","0,00","1,32",0%,"1,32",47%,14%,23%,"7,09","0,00","0,00%"
"6,44",2001,18%,"0,72","1,51","0,00","1,94","3,98","3,14","3,91","0,00","1,01",0%,"1,13",49%,16%,28%,"4,09","0,00","0,00%"
"7,68",2002,15%,"0,58","1,54","0,00","1,67","4,70","2,72","4,22","0,00","0,81",0%,"1,18",35%,11%,21%,"3,84","0,00","0,00%"
"23,38",2003,9%,"0,80","1,53","0,00","0,83","5,26","3,67","11,55","0,00","1,08",0%,"2,10",16%,5%,10%,"7,83","0,00","0,00%"
"8,96",2004,12%,"0,79","1,91","0,00","1,76","6,24","2,53","6,52","0,00","0,80",0%,"1,11",28%,9%,14%,"5,69","0,00","0,00%"
"17,70",2005,8%,"0,75","1,81","0,00","1,02","6,74","2,67","16,20","11,97","0,77",12%,"1,42",15%,4%,5%,"12,46","9,21","0,00%"
"25,37",2006,8%,"0,56","1,63","0,00","0,87","7,02","3,14","30,61","18,91","1,00",10%,"1,96",12%,4%,4%,"17,35","10,72","2,00%"
"22,43",2007,7%,"0,58","1,72","0,00","0,90","7,29","2,76","28,42","16,83","0,95",9%,"1,49",12%,4%,4%,"18,06","10,70","2,18%"
"14,20",2008,4%,"0,70","1,69","0,00","0,62","8,48","1,04","5,73","4,25","0,30",13%,"0,54",7%,2%,6%,"9,57","7,10","5,45%"
"7,48",2009,9%,"0,69","2,06","0,00","1,27","7,16","1,33","9,40","5,95","0,43",11%,"0,64",18%,6%,5%,"13,57","8,58","2,52%"
"14,18",2010,6%,"0,46","2,09","0,89","0,83","7,21","1,64","12,52","8,04","0,61",11%,"0,91",12%,4%,7%,"7,62","4,90","3,05%"
"48,91",2011,2%,"0,53","1,82","0,74","0,24","8,08","1,46","16,27","9,22","0,51",9%,"0,86",3%,1%,5%,"10,55","5,98","2,13%"
"17,09",2012,5%,"0,62","1,92","0,85","0,85","9,43","1,53","8,62","5,94","0,54",14%,"0,86",9%,3%,9%,"4,69","3,23","1,45%"
"17,52",2013,6%,"0,60","1,99","0,91","1,08","11,64","1,62","8,60","6,17","0,58",16%,"1,01",9%,3%,11%,"3,33","2,39","1,32%"
"21,69",2014,6%,"0,65","2,28","0,95","1,13","13,97","1,75","13,78","9,07","0,65",13%,"1,20",8%,3%,7%,"5,04","3,32","1,39%"
"78,90",2015,1%,"0,92","2,08","0,90","0,38","20,36","1,48","20,17","10,22","0,49",11%,"1,10",2%,1%,4%,"8,39","4,25","0,60%"
"20,01",2016,3%,"0,95","2,13","0,95","0,80","17,35","0,92","16,50","0,00","0,31",0%,"0,55",5%,2%,3%,"12,22","0,00","0,63%"
"17,42",2017,5%,"1,00","2,53","1,31","1,15","18,68","1,07","13,96","8,78","0,38",9%,"0,79",6%,2%,4%,"7,74","4,87","1,55%"
"-25,02",2018,-3%,"0,93","2,33","1,00","-0,87","20,61","1,05","155,92","23,51","0,37",4%,"0,86",-4%,-1%,0%,"85,14","12,83","0,60%"
"-11,29",2019,-12%,"0,03","1,34","0,20","-1,75","19,68","1,00","-22,69","-75,54","0,34",-2%,"1,40",-9%,-3%,-2%,"-2,52","-8,38","0,00%"
"-2,79",2020,-23%,"0,21","1,30","0,14","-3,25","23,06","0,39","-12,59","-38,39","0,12",-2%,"0,63",-14%,-4%,-1%,"-8,90","-27,16","0,00%"
