P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"47,16",2011,32%,"0,05","3,18","2,92","0,35","8,18","2,02","115,42","48,48","1,61",31%,"15,18",4%,3%,3%,"43,53","18,29","0,00%"
"41,45",2012,18%,---,"12,36","10,70","0,32","8,49","1,54","83,91","27,98","1,41",27%,"7,45",4%,3%,3%,"42,71","14,24","0,00%"
"13,18",2013,40%,"0,07","5,51","4,31","0,74","9,26","1,06","20,03","11,41","0,84",46%,"5,23",8%,6%,7%,"14,69","8,37","0,00%"
"11,18",2014,33%,"0,10","12,17","10,25","0,64","9,80","0,73","18,75","8,65","0,59",43%,"3,69",7%,5%,5%,"18,44","8,50","2,22%"
"15,99",2015,19%,"0,14","8,52","7,15","0,36","10,43","0,56","-7,71","-20,08","0,44",-15%,"3,03",3%,3%,-9%,"-10,00","-26,05","2,57%"
"9,20",2016,32%,"0,13","5,64","4,76","0,58","10,45","0,51","11,61","7,52","0,40",40%,"2,98",6%,4%,5%,"15,18","9,83","2,81%"
"8,00",2017,71%,"0,10","7,39","6,15","1,34","11,70","0,92","8,36","7,00","0,73",81%,"5,70",11%,9%,18%,"3,32","2,78","1,40%"
"5,85",2018,53%,"0,09","9,96","8,58","1,60","12,04","0,78","5,92","4,33","0,63",72%,"3,12",13%,11%,22%,"2,53","1,85","16,47%"
"19,69",2019,19%,"0,09","3,63","2,98","0,81","10,89","1,47","20,25","8,58","0,93",45%,"3,83",7%,5%,8%,"5,95","2,52","11,94%"
"11,34",2020,20%,"0,08","4,03","3,33","0,91","11,75","0,88","12,53","5,43","0,57",42%,"2,29",8%,5%,8%,"4,94","2,14","11,09%"
