P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"21,32",2005,10%,0.73,0.97,0.00,"1,28","24,77","1,11","13,33","0,00","0,50",0%,"2,11",5%,2%,4%,"40,51","0,00","0,00%"
"12,58",2006,9%,0.72,1.15,0.00,"2,62","26,46","1,25","7,01","5,12","0,57",23%,"1,19",10%,5%,9%,"17,86","13,04","4,12%"
"9,53",2007,11%,0.60,1.36,0.00,"3,03","28,07","1,03","5,89","4,23","0,49",25%,"1,05",11%,5%,9%,"16,81","12,07","2,53%"
"6,46",2008,10%,0.60,0.78,0.00,"3,50","36,05","0,63","3,54","2,38","0,31",28%,"0,66",10%,5%,9%,"15,14","10,17","5,62%"
"6,62",2009,17%,0.53,1.14,0.00,"5,07","37,27","0,90","4,66","3,68","0,46",31%,"1,14",14%,7%,10%,"12,15","9,59","2,80%"
"8,37",2010,15%,0.52,1.14,0.45,"4,62","40,72","0,95","5,31","4,08","0,48",30%,"1,21",11%,6%,10%,"11,25","8,65","6,56%"
"9,49",2011,13%,0.55,1.01,0.33,"4,37","41,30","1,00","5,53","4,29","0,48",28%,"1,22",11%,5%,10%,"11,32","8,78","5,76%"
"11,08",2012,8%,0.67,0.89,0.19,"1,13","13,35","0,94","6,12","4,52","0,41",20%,"0,90",8%,4%,8%,"14,89","11,01","14,25%"
"9,73",2013,8%,0.52,1.02,0.20,"1,17","13,15","0,86","4,85","3,56","0,38",21%,"0,76",9%,4%,9%,"11,75","8,62","4,93%"
"5,08",2014,9%,0.51,0.88,0.23,"1,77","13,81","0,65","2,84","2,31","0,32",21%,"0,48",13%,6%,13%,"8,84","7,20","11,15%"
"4,07",2015,14%,0.83,1.24,0.29,"2,96","15,75","0,76","2,36","1,98","0,31",29%,"0,57",19%,8%,15%,"6,50","5,46","1,33%"
"9,77",2016,9%,0.62,1.17,0.51,"1,37","14,81","0,91","4,95","3,73","0,42",23%,"0,87",9%,4%,10%,"8,71","6,55","8,58%"
"12,28",2017,6%,0.67,1.21,0.38,"1,14","14,91","0,94","5,33","3,91","0,41",18%,"0,69",8%,3%,9%,"9,47","6,95","0,86%"
"6,32",2018,10%,0.77,1.54,0.52,"2,34","15,96","0,92","4,13","3,22","0,39",20%,"0,65",15%,6%,12%,"7,31","5,71","8,20%"
"9,01",2019,10%,0.82,1.28,0.48,"2,45","17,08","1,29","5,66","4,48","0,49",20%,"0,88",14%,5%,10%,"6,96","5,51","2,04%"
"7,36",2020,9%,0.81,1.29,0.45,"2,38","17,32","1,01","4,50","3,56","0,39",19%,"0,68",14%,5%,10%,"7,11","5,62","2,22%"
