P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-13,92",2009,-351%,0.82,1.84,1.62,"-1,62","13,75","1,64","-13,26","-13,87","0,64",-352%,"48,82",-12%,-5%,-7%,"-55,28","-57,85","31,56%"
"-14,18",2010,-259%,1.52,1.19,0.34,"-1,86","12,44","2,12","-13,48","-13,54","0,57",-271%,"36,74",-15%,-4%,-5%,"-55,91","-56,15","0,00%"
"-15,85",2011,-239%,4.26,1.05,0.89,"-2,93","10,02","4,64","-18,92","-19,41","0,80",-195%,"37,84",-29%,-5%,-5%,"-51,20","-52,53","0,00%"
"-14,86",2012,-89%,2.25,0.46,0.25,"-0,75","4,68","2,38","-15,31","-15,44","0,68",-85%,"13,16",-16%,-5%,-5%,"-43,46","-43,82","0,00%"
"-2,23",2013,-66%,2.42,0.25,0.09,"-1,34","3,66","0,82","-4,94","-7,51","0,22",-20%,"1,47",-37%,-10%,-5%,"-43,93","-66,84","0,00%"
"-0,22",2014,-86%,4.24,0.26,0.04,"-1,85","1,45","0,28","-0,70","-1,07","0,05",-17%,"0,19",-128%,-22%,-7%,"-36,90","-56,90","0,00%"
"16,41",2015,9%,1.18,0.64,0.17,"0,01","0,22","0,63","17,42","7,35","0,27",20%,"1,49",4%,2%,2%,"129,06","54,42","0,00%"
"-25,87",2016,-5%,1.10,0.72,0.36,"-0,46","18,73","0,64","5,08","3,10","0,27",42%,"1,32",-2%,-1%,6%,"30,60","18,69","0,00%"
"46,09",2017,3%,0.81,1.63,0.85,"0,30","17,06","0,81","6,20","3,89","0,40",41%,"1,61",2%,1%,7%,"22,93","14,40","0,00%"
"5,70",2018,28%,0.82,2.19,1.39,"2,82","19,95","0,81","4,53","3,24","0,41",50%,"1,62",14%,7%,11%,"14,85","10,63","0,00%"
"23,01",2019,19%,0.81,2.09,1.32,"1,90","21,87","2,00","14,25","9,46","0,99",46%,"4,39",9%,4%,8%,"17,15","11,39","0,00%"
"19,67",2020,19%,0.77,2.01,1.32,"2,06","22,69","1,78","12,35","8,23","0,92",45%,"3,68",9%,5%,9%,"16,19","10,80","0,00%"
