P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"7,78",2009,15%,1.57,0.68,0.37,"1,34","5,11","2,03","5,72","4,30","0,64",27%,"1,15",26%,8%,15%,"46,68","35,11","0,00%"
"11,17",2010,9%,1.51,1.58,0.71,"0,90","5,40","1,85","6,03","4,33","0,61",24%,"1,02",17%,5%,12%,"51,72","37,15","4,50%"
"12,10",2011,9%,1.75,1.92,0.97,"0,96","5,93","1,97","6,06","4,62","0,60",23%,"1,06",16%,5%,13%,"45,32","34,55","3,86%"
"9,66",2012,10%,1.85,1.35,0.69,"1,33","6,82","1,89","5,64","4,42","0,56",22%,"0,97",20%,6%,13%,"38,99","30,57","3,73%"
"15,27",2013,7%,1.54,1.19,0.58,"0,82","7,33","1,71","6,91","5,01","0,56",22%,"1,09",11%,4%,10%,"43,81","31,80","6,40%"
"11,12",2014,4%,2.42,1.21,0.26,"1,24","12,03","1,14","3,55","2,20","0,18",19%,"0,41",10%,2%,6%,"24,16","14,98","5,02%"
"10,66",2015,3%,2.39,1.25,0.38,"1,31","12,41","1,13","4,33","2,39","0,20",13%,"0,31",11%,2%,6%,"27,45","15,18","6,79%"
"32,63",2016,2%,1.59,1.27,0.51,"0,57","13,80","1,35","5,76","3,53","0,32",15%,"0,54",4%,1%,7%,"20,30","12,45","2,21%"
"16,48",2017,4%,1.86,1.24,0.47,"1,66","13,83","1,97","7,59","4,60","0,43",15%,"0,69",12%,3%,7%,"19,13","11,61","2,09%"
"11,40",2018,7%,2.60,1.46,0.56,"3,25","16,66","2,23","4,69","3,53","0,37",24%,"0,85",20%,3%,9%,"10,13","7,61","2,10%"
"36,72",2019,3%,2.65,1.31,0.36,"1,46","17,81","3,01","8,29","5,55","0,49",18%,"0,98",8%,1%,7%,"13,68","9,16","16,29%"
"17,85",2020,5%,2.71,1.20,0.41,"2,70","19,39","2,49","7,41","4,97","0,42",18%,"0,88",14%,2%,7%,"13,92","9,34","17,07%"
