P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"2,04",2007,23%,0.87,1.41,0.00,"4,92","15,54","0,64","1,65","1,32","0,21",34%,"0,45",32%,10%,14%,"36,22","28,97","13,97%"
"5,18",2008,22%,0.97,1.53,0.00,"3,49","16,48","1,10","3,40","2,62","0,37",30%,"0,78",21%,7%,11%,"41,09","31,59","0,39%"
"4,32",2009,15%,1.08,1.61,0.00,"2,64","11,67","0,98","3,03","2,42","0,38",29%,"0,69",23%,9%,16%,"54,91","43,77","3,51%"
"5,11",2010,16%,1.06,1.65,0.83,"2,48","11,52","1,10","3,91","3,38","0,41",21%,"0,70",22%,8%,13%,"64,09","55,40","14,21%"
"15,92",2011,14%,1.17,1.34,0.57,"1,18","13,64","1,37","8,09","6,39","0,37",18%,"1,16",9%,2%,6%,"53,89","42,56","2,46%"
"85,07",2012,7%,1.26,1.27,0.65,"0,27","14,35","1,61","15,84","8,49","0,50",11%,"0,97",2%,1%,4%,"80,27","43,02","0,73%"
"7,34",2013,1%,1.13,1.83,0.96,"3,77","17,36","1,60","6,47","5,49","0,49",18%,"1,01",22%,7%,10%,"28,36","24,03","1,41%"
"7,09",2014,14%,1.27,1.39,0.62,"4,83","21,30","1,61","9,81","6,71","0,54",14%,"0,95",23%,8%,8%,"33,36","22,80","2,42%"
"12,35",2015,13%,0.93,1.65,0.79,"4,40","24,52","2,22","10,26","0,00","0,76",0%,"1,38",18%,6%,10%,"22,26","0,00","1,19%"
"10,82",2016,11%,0.99,1.74,0.89,"6,07","28,92","2,27","9,25","7,26","0,75",20%,"1,44",21%,7%,12%,"17,34","13,61","0,88%"
"12,74",2017,13%,1.21,1.84,1.02,"5,85","32,96","2,26","7,13","5,89","0,58",22%,"1,32",18%,5%,11%,"13,69","11,32","1,62%"
"12,26",2018,10%,1.76,1.46,0.74,"1,86","7,64","2,98","7,03","6,04","0,68",23%,"1,40",24%,6%,12%,"10,27","8,82","0,00%"
"11,45",2019,11%,2.16,1.69,0.82,"1,86","7,64","2,78","6,57","5,64","0,63",23%,"1,31",24%,6%,12%,"10,27","8,82","0,00%"
