P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"5,65",2008,15%,"0,14","1,70","0,25","0,91","2,96","1,73","3,94","3,43","1,05",25%,"0,84",31%,19%,30%,"0,93","0,81","17,22%"
"10,31",2009,13%,"0,08","2,77","1,23","0,84","4,36","1,98","7,30","6,26","1,35",21%,"1,33",19%,13%,26%,"-0,12","-0,10","8,80%"
"10,53",2010,13%,"0,06","1,99","0,47","1,14","4,60","2,61","8,66","7,57","1,62",19%,"1,42",25%,15%,23%,"0,36","0,31","6,83%"
"8,13",2011,12%,"0,11","2,16","0,42","1,09","4,89","1,82","6,75","5,69","1,15",17%,"0,97",22%,14%,20%,"0,69","0,58","10,22%"
"6,36",2012,13%,"0,16","2,05","0,46","1,27","5,35","1,51","4,65","3,93","0,90",20%,"0,80",24%,14%,23%,"0,55","0,46","9,88%"
"7,52",2013,11%,"0,16","2,02","0,25","1,16","5,65","1,55","5,43","4,39","0,94",19%,"0,82",21%,12%,19%,"0,94","0,76","9,27%"
"6,69",2014,9%,"0,25","1,79","0,22","0,49","2,87","1,13","4,51","3,52","0,65",17%,"0,59",17%,10%,16%,"1,40","1,09","20,62%"
"12,47",2015,3%,"0,33","2,01","0,11","0,17","2,79","0,75","4,07","2,84","0,40",14%,"0,38",6%,3%,11%,"2,67","1,87","14,35%"
"-6,56",2016,-4%,"0,27","2,12","0,04","-0,20","2,56","0,51","-33,75","7,54","0,28",4%,"0,29",-8%,-4%,-1%,"-31,15","6,96","0,00%"
"-0,60",2017,-41%,"0,57","2,01","0,19","-1,54","0,95","0,97","-0,72","-0,85","0,29",-29%,"0,25",-162%,-49%,-45%,"-0,75","-0,88","0,00%"
"-0,56",2018,-28%,"10,83","1,15","0,04","-4,99","0,40","6,96","-0,79","-0,91","0,15",-17%,"0,16",-1.242%,-26%,-20%,"-2,09","-2,41","0,00%"
"-10,41",2019,-3%,"-56,50","1,02","0,04","-0,41","-0,06","-67,68","3,66","2,42","0,25",11%,"0,28",650%,-2%,8%,"5,54","3,67","0,00%"
"-50,68",2020,0%,"-7,24","0,97","0,04","-0,06","-0,54","-5,96","2,07","1,51","0,18",14%,"0,21",12%,0%,10%,"4,37","3,18","0,00%"
