P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"65,99",2007,8%,"0,30","6,77","0,00","0,26","4,78","3,54","45,69","0,00","2,15",0%,"5,55",5%,3%,5%,"42,11","0,00","0,00%"
"7,09",2008,9%,"0,70","3,89","0,00","0,41","4,50","0,64","4,88","4,66","0,30",13%,"0,63",9%,4%,6%,"24,07","22,96","1,72%"
"11,06",2009,12%,"0,97","4,14","0,00","0,77","5,13","1,66","8,08","7,98","0,67",16%,"1,31",15%,6%,8%,"15,23","15,04","0,94%"
"7,78",2010,13%,"0,83","2,43","0,48","1,11","6,04","1,42","5,92","5,83","0,62",18%,"1,02",18%,8%,13%,"7,82","7,71","1,98%"
"6,14",2011,12%,"0,88","3,10","0,43","1,01","6,83","0,90","5,11","5,04","0,41",15%,"0,76",15%,7%,9%,"10,52","10,36","4,21%"
"8,06",2012,13%,"0,80","4,25","0,62","1,17","7,74","1,21","6,71","6,51","0,58",16%,"1,01",15%,7%,10%,"9,07","8,80","2,45%"
"5,78",2013,13%,"0,81","3,50","0,78","1,41","9,92","0,82","5,74","5,52","0,40",14%,"0,77",14%,7%,8%,"9,38","9,01","3,19%"
"4,47",2014,12%,"0,77","3,15","0,71","1,22","10,74","0,51","5,89","5,36","0,25",10%,"0,56",11%,6%,5%,"15,08","13,74","5,33%"
"5,90",2015,7%,"0,81","2,98","0,56","0,70","11,47","0,36","9,32","8,40","0,17",5%,"0,40",6%,3%,2%,"34,87","31,42","6,31%"
"20,30",2016,2%,"0,82","3,36","0,51","0,18","10,75","0,34","-32,02","-21,55","0,17",-2%,"0,48",2%,1%,-1%,"-129,45","-87,12","4,59%"
"-3,77",2017,-22%,"0,84","2,71","0,44","-1,52","8,91","0,64","-3,51","-3,73","0,27",-22%,"0,82",-17%,-7%,-9%,"-8,22","-8,73","0,00%"
"-9,23",2018,-10%,"0,87","2,73","0,58","-0,65","8,33","0,72","-8,04","-8,79","0,27",-10%,"0,88",-8%,-3%,-4%,"-16,95","-18,53","0,00%"
"23,78",2019,7%,"0,75","2,65","0,69","0,65","8,65","1,80","19,86","18,46","0,68",10%,"1,77",8%,3%,4%,"14,48","13,46","0,00%"
"14,67",2020,7%,"0,74","2,48","0,64","0,62","8,93","1,01","12,68","11,95","0,39",9%,"1,07",7%,3%,4%,"15,69","14,78","0,00%"
