P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"28,72",2007,25%,---,4.91,0.00,"0,31","5,03","1,76","45,56","42,17","1,44",17%,"7,10",6%,5%,3%,"293,53","271,73","0,00%"
"3,32",2008,31%,0.02,6.28,0.00,"0,71","5,56","0,42","4,39","4,43","0,37",23%,"1,01",13%,11%,8%,"110,73","111,68","2,98%"
"7,43",2009,32%,0.07,4.75,0.00,"1,14","6,45","1,32","7,61","7,58","1,07",32%,"2,41",18%,14%,14%,"53,62","53,42","1,53%"
"8,17",2010,39%,0.05,4.14,1.01,"1,72","7,79","1,80","8,82","8,81","1,46",36%,"3,16",22%,18%,19%,"36,74","36,70","1,92%"
"7,00",2011,44%,0.04,3.64,1.22,"2,26","9,66","1,63","8,02","7,96","1,31",39%,"3,11",23%,19%,20%,"28,62","28,42","2,47%"
"11,12",2012,42%,0.08,4.05,0.53,"2,31","11,42","2,25","12,12","12,08","1,76",39%,"4,72",20%,16%,16%,"27,27","27,17","2,06%"
"7,26",2013,52%,0.14,3.96,0.49,"4,01","14,38","2,03","7,51","7,38","1,50",51%,"3,76",28%,21%,22%,"15,12","14,85","1,85%"
"6,81",2014,50%,0.21,2.30,0.27,"3,23","16,47","1,34","7,39","7,24","0,95",47%,"3,39",20%,14%,14%,"20,10","19,69","4,32%"
"4,50",2015,55%,0.08,5.59,1.24,"2,83","17,22","0,74","5,11","5,02","0,61",49%,"2,46",16%,14%,14%,"21,29","20,90","8,70%"
"11,13",2016,41%,0.12,5.09,1.27,"1,41","17,24","0,91","15,37","15,09","0,73",30%,"4,51",8%,7%,6%,"49,42","48,52","6,33%"
"9,84",2017,37%,0.09,4.41,1.45,"2,20","15,54","1,39","11,23","11,21","1,15",33%,"3,65",14%,12%,13%,"25,74","25,70","17,37%"
"40,08",2018,26%,0.03,8.06,2.42,"0,62","15,98","1,57","1.376,11","1.150,91","1,39",1%,"10,59",4%,3%,0%,"2.703,17","2.260,80","2,08%"
"40,49",2019,36%,0.01,7.41,3.96,"1,28","16,78","3,09","53,55","52,69","2,76",28%,"14,65",8%,7%,7%,"32,94","32,41","0,27%"
"24,88",2020,39%,---,6.19,3.57,"1,56","17,13","2,26","34,31","33,68","2,02",29%,"9,68",9%,8%,8%,"28,30","27,79","0,00%"
