P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"1,78",2008,38%,0.00,5.66,3.08,"3,82","10,31","0,66","1,66","1,54","0,55",44%,"0,68",37%,31%,52%,"3,29","3,05","16,94%"
"36,91",2009,6%,0.05,6.36,4.14,"0,32","10,46","1,12","-1.033,34","42,57","0,96",5%,"2,30",3%,3%,0%,"-1.185,60","48,85","4,27%"
"8,79",2010,20%,---,6.34,3.48,"1,53","11,66","1,15","9,35","8,16","1,00",22%,"1,76",13%,11%,17%,"9,15","7,99","2,01%"
"7,97",2011,14%,0.01,6.25,3.25,"1,03","12,42","0,66","11,51","8,50","0,57",13%,"1,13",8%,7%,7%,"19,28","14,24","4,14%"
"12,94",2012,12%,---,6.91,2.82,"0,96","13,16","0,95","15,71","11,16","0,84",14%,"1,56",7%,7%,7%,"18,41","13,08","1,85%"
"15,74",2013,9%,0.01,6.44,2.37,"0,84","13,79","0,96","15,13","10,33","0,84",14%,"1,46",6%,5%,7%,"17,16","11,72","1,36%"
"8,25",2014,11%,0.01,5.96,2.18,"1,05","14,46","0,60","10,23","6,99","0,53",13%,"0,93",7%,6%,6%,"17,47","11,93","3,11%"
"3,54",2015,19%,0.01,3.01,0.36,"1,99","15,16","0,47","2,87","2,49","0,38",27%,"0,67",13%,11%,15%,"6,82","5,92","13,03%"
"9,65",2016,6%,0.03,3.80,1.60,"0,80","15,36","0,51","114,23","10,92","0,41",6%,"0,63",5%,4%,0%,"218,10","20,84","10,31%"
"6,67",2017,24%,0.04,5.25,3.04,"3,07","17,23","1,19","7,32","5,82","0,97",28%,"1,63",18%,15%,19%,"4,44","3,53","6,16%"
"5,81",2018,23%,0.23,3.12,1.12,"3,52","19,80","1,03","4,80","3,90","0,68",34%,"1,31",18%,12%,16%,"4,39","3,56","5,67%"
"7,96",2019,17%,0.27,2.71,0.68,"2,51","20,81","0,96","9,87","6,16","0,64",22%,"1,38",12%,8%,7%,"10,42","6,51","6,40%"
"8,83",2020,14%,0.32,1.64,0.48,"1,98","19,12","0,92","9,91","5,81","0,54",21%,"1,21",10%,6%,6%,"11,89","6,97","4,06%"
