P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"12,39",2007,3%,"0,59","1,34","0,00","1,59","10,13","1,94","13,07","11,60","0,74",4%,"0,42",16%,6%,8%,"6,53","5,80","1,58%"
"-0,68",2008,-7%,"2,76","0,86","0,00","-5,20","4,89","0,73","2,36","1,93","0,09",3%,"0,05",-106%,-13%,7%,"11,50","9,41","1,69%"
"8,64",2009,2%,"1,94","0,78","0,00","1,24","6,11","1,75","-15,25","103,69","0,30",0%,"0,16",20%,4%,-3%,"-22,32","151,70","0,00%"
"7,13",2010,2%,"1,91","0,91","0,13","1,30","8,44","1,10","2,64","2,12","0,22",6%,"0,13",15%,3%,13%,"4,66","3,73","0,00%"
"8,28",2011,1%,"2,12","0,98","0,21","1,34","9,76","1,14","1,75","1,52","0,21",8%,"0,11",14%,3%,22%,"2,60","2,26","0,00%"
"-252,53",2012,0%,"2,61","0,88","0,19","-0,04","9,72","1,07","2,50","2,05","0,17",5%,"0,10",0%,0%,12%,"4,69","3,84","0,00%"
"-10,28",2013,-1%,"2,30","0,87","0,19","-0,68","9,02","0,78","1,54","1,27","0,11",5%,"0,06",-8%,-1%,16%,"3,42","2,82","0,00%"
"25,54",2014,0%,"2,99","0,80","0,11","0,21","9,18","0,57","0,90","0,77","0,08",6%,"0,04",2%,0%,17%,"4,22","3,63","0,00%"
"-0,22",2015,-5%,"6,74","0,62","0,02","-6,22","4,57","0,30","0,49","0,37","0,02",3%,"0,01",-136%,-10%,6%,"12,00","8,96","0,00%"
"2,51",2016,1%,"3,64","0,67","0,03","0,82","5,37","0,38","0,56","0,44","0,04",5%,"0,02",15%,2%,11%,"5,93","4,71","0,00%"
"-1,10",2017,-3%,"7,55","0,61","0,02","-2,32","3,03","0,84","3,52","1,49","0,05",2%,"0,03",-77%,-4%,2%,"34,61","14,69","0,00%"
"-0,31",2018,-21%,"-1,61","0,40","0,01","-14,43","-11,53","-0,39","-1,24","-1,61","0,13",-4%,"0,07",125%,-43%,-26%,"-5,99","-7,77","0,00%"
"0,30",2019,55%,"5,23","1,51","0,04","12,12","0,58","6,27","-1,27","-1,59","0,12",-10%,"0,16",2.106%,41%,-12%,"-2,14","-2,68","0,00%"
"0,32",2020,38%,"-0,82","1,35","0,05","10,05","-3,21","-1,01","-2,03","-2,70","0,11",-5%,"0,12",-313%,35%,-7%,"-3,53","-4,70","0,00%"
