P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"26,98",2009,11%,"0,16","3,92","0,00","0,68","6,71","2,74","15,47","14,89","1,84",20%,"3,01",10%,7%,12%,"53,21","51,23","0,00%"
"26,92",2010,15%,"0,09","5,89","4,08","0,99","7,70","3,46","20,70","17,36","2,63",23%,"4,02",13%,10%,23%,"43,76","36,69","1,13%"
"32,77",2011,9%,"0,36","2,30","1,28","0,65","10,44","2,05","23,71","16,75","1,18",18%,"2,97",6%,4%,6%,"56,40","39,84","0,93%"
"33,36",2012,7%,"0,33","2,72","0,74","0,69","10,91","2,11","16,76","11,45","1,32",21%,"2,40",6%,4%,9%,"38,27","26,14","1,00%"
"46,38",2013,4%,"0,58","4,05","2,07","0,40","10,81","1,70","16,92","10,33","0,90",17%,"1,74",4%,2%,7%,"48,79","29,81","2,88%"
"28,91",2014,5%,"0,66","3,84","1,91","0,56","10,06","1,62","13,05","8,25","0,79",18%,"1,52",6%,3%,8%,"42,98","27,19","7,86%"
"23,37",2015,6%,"0,60","2,71","1,50","0,68","10,59","1,51","10,64","6,98","0,78",19%,"1,32",6%,3%,9%,"34,96","22,94","0,63%"
"24,25",2016,11%,"0,54","2,27","0,99","1,47","9,77","3,65","16,43","11,61","1,87",23%,"2,69",15%,8%,14%,"24,28","17,16","6,87%"
"28,94",2017,14%,"0,62","1,98","1,05","1,02","5,42","5,46","19,49","15,04","2,64",26%,"3,91",19%,9%,18%,"17,22","13,29","2,60%"
"18,78",2018,12%,"0,72","2,30","1,29","1,05","5,53","3,58","12,41","9,03","1,60",26%,"2,35",19%,9%,17%,"16,47","11,98","4,20%"
"30,70",2019,11%,"0,89","1,99","1,08","0,99","5,55","5,50","17,24","10,98","1,90",30%,"3,33",18%,6%,14%,"15,33","9,77","3,34%"
"28,10",2020,10%,"0,95","1,94","1,00","0,88","5,12","4,85","15,19","9,35","1,53",29%,"2,70",17%,5%,12%,"16,74","10,30","3,74%"
