P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"10,86",2010,10%,"0,81","2,15","1,20","0,48","3,17","1,64","9,68","7,05","0,76",15%,"1,05",15%,7%,12%,"21,03","15,32","3,85%"
"7,05",2011,8%,"0,92","2,35","1,26","0,44","3,42","0,91","7,56","4,95","0,41",12%,"0,58",13%,6%,8%,"28,42","18,60","6,13%"
"23,90",2012,4%,"1,11","1,73","0,82","0,25","3,59","1,69","12,19","7,24","0,69",13%,"0,94",7%,3%,8%,"25,58","15,19","1,81%"
"19,14",2013,6%,"1,03","2,89","1,36","0,42","3,95","2,04","11,82","7,69","0,86",15%,"1,12",11%,4%,10%,"19,01","12,37","1,87%"
"11,14",2014,6%,"0,99","2,50","1,23","0,37","3,26","1,26","7,76","4,90","0,54",14%,"0,67",11%,5%,10%,"19,22","12,12","2,68%"
"8,63",2015,6%,"0,88","1,92","0,81","0,44","3,46","1,10","5,79","3,88","0,49",14%,"0,54",13%,6%,12%,"15,69","10,51","3,42%"
"14,46",2016,8%,"0,33","3,32","2,21","0,30","3,55","1,22","11,19","7,60","0,78",15%,"1,16",8%,5%,14%,"10,08","6,85","2,31%"
"17,94",2017,8%,"0,28","2,07","1,15","0,30","3,60","1,49","17,67","10,96","0,86",13%,"1,40",8%,5%,8%,"13,05","8,09","5,41%"
"11,00",2018,8%,"0,45","2,10","0,62","0,42","3,80","1,21","7,10","5,45","0,66",16%,"0,88",11%,6%,12%,"8,95","6,86","5,00%"
"35,43",2019,3%,"0,50","2,14","0,62","0,16","3,58","1,59","11,48","7,54","0,77",12%,"0,91",4%,2%,8%,"12,03","7,91","1,93%"
"32,76",2020,3%,"0,47","2,46","0,49","0,16","3,81","1,38","10,42","7,40","0,69",11%,"0,83",4%,2%,8%,"12,40","8,80","2,09%"
