P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"70,25",2006,7%,"0,36","4,00","0,00","0,45","7,87","4,06","51,59","51,09","2,21",10%,"4,98",6%,3%,4%,"13,61","13,48","0,00%"
"34,10",2007,11%,"0,45","3,40","0,00","0,97","11,95","2,78","30,26","29,73","1,46",12%,"3,67",8%,4%,5%,"8,91","8,75","0,30%"
"8,16",2008,10%,"0,75","2,84","0,00","1,28","16,03","0,65","6,65","5,32","0,25",15%,"0,79",8%,3%,4%,"10,38","8,30","2,00%"
"16,41",2009,9%,"1,31","2,42","0,00","1,72","14,29","1,98","10,19","9,54","0,61",16%,"1,56",12%,4%,6%,"8,00","7,49","0,71%"
"11,76",2010,12%,"0,87","3,04","0,60","1,02","8,78","1,37","9,25","8,72","0,54",16%,"1,39",12%,5%,7%,"4,75","4,48","1,00%"
"-1,97",2011,-31%,"1,37","1,52","0,20","-2,09","6,36","0,65","-2,95","-3,43","0,19",-18%,"0,61",-33%,-10%,-7%,"-5,55","-6,44","5,58%"
"-27,17",2012,-2%,"1,45","2,51","0,58","-0,17","6,22","0,76","11,85","7,86","0,22",7%,"0,52",-3%,-1%,2%,"16,34","10,84","0,00%"
"1,69",2013,33%,"0,95","2,12","0,75","2,08","7,72","0,46","3,27","2,87","0,18",19%,"0,56",27%,11%,7%,"3,59","3,15","8,78%"
"-19,35",2014,-2%,"0,85","2,07","0,51","-0,11","8,09","0,27","-41,60","19,76","0,12",2%,"0,39",-1%,-1%,0%,"-100,25","47,61","3,64%"
"12,40",2015,3%,"0,69","2,11","0,35","0,20","8,43","0,29","7,63","5,45","0,13",7%,"0,39",2%,1%,2%,"17,21","12,30","0,00%"
"-0,61",2016,-127%,"0,85","1,49","0,11","-3,07","5,10","0,36","-1,48","-1,59","0,13",-48%,"0,77",-60%,-22%,-10%,"-4,12","-4,43","2,69%"
"-0,67",2017,-140%,"1,45","1,43","0,12","-30,31","27,07","0,76","-0,66","-0,69","0,20",-137%,"0,94",-112%,-30%,-33%,"-1,77","-1,84","0,00%"
"-1,75",2018,-44%,"1,80","1,62","0,13","-9,65","11,27","1,50","-2,04","-2,17","0,29",-36%,"0,77",-86%,-17%,-16%,"-3,66","-3,89","0,00%"
"-80,03",2019,-3%,"0,82","1,44","0,33","-0,11","7,46","1,16","94,58","42,59","0,41",6%,"2,60",-1%,-1%,1%,"81,09","36,52","0,00%"
"79,37",2020,2%,"0,80","1,70","0,35","0,06","7,35","0,63","17,92","13,06","0,22",11%,"1,48",1%,0%,2%,"29,77","21,70","0,00%"
