P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"4,72",2002,9%,1.62,1.00,0.00,"7,31","38,73","0,89","1,97","0,00","0,27",0%,"0,43",19%,6%,15%,"15,26","0,00","6,75%"
"7,05",2003,10%,1.29,1.23,0.00,"8,65","32,80","1,86","5,06","0,00","0,63",0%,"0,68",26%,9%,14%,"16,55","0,00","4,13%"
"4,28",2004,17%,0.84,1.82,0.00,"11,10","25,79","1,84","3,04","0,00","0,75",0%,"0,72",43%,18%,28%,"6,44","0,00","4,80%"
"5,30",2005,15%,0.75,2.90,0.00,"7,41","22,94","1,71","3,98","3,34","0,79",24%,"0,82",32%,15%,22%,"7,09","5,95","5,93%"
"6,59",2006,15%,0.71,2.56,0.00,"5,30","19,22","1,82","5,77","4,61","0,86",21%,"0,98",28%,13%,16%,"8,08","6,45","4,07%"
"7,99",2007,14%,0.96,2.32,0.00,"6,50","25,12","2,07","6,98","5,51","0,83",20%,"1,12",26%,10%,13%,"7,95","6,27","2,54%"
"4,32",2008,12%,0.93,2.45,0.00,"3,48","17,63","0,85","2,63","2,13","0,36",24%,"0,51",20%,8%,14%,"5,73","4,64","8,23%"
"41,15",2009,4%,0.66,2.94,0.00,"0,71","15,49","1,88","48,82","15,97","0,93",10%,"1,56",5%,2%,2%,"44,60","14,59","1,03%"
"13,87",2010,8%,0.73,2.58,0.43,"1,63","13,39","1,69","9,36","6,16","0,80",18%,"1,09",12%,6%,9%,"9,82","6,46","1,68%"
"11,78",2011,6%,0.52,2.56,0.68,"1,23","15,55","0,93","8,59","5,32","0,49",13%,"0,70",8%,4%,7%,"11,26","6,97","2,28%"
"20,37",2012,4%,0.51,2.10,0.32,"0,88","16,93","1,06","12,99","7,30","0,57",11%,"0,80",5%,3%,5%,"15,11","8,50","1,67%"
"18,44",2013,4%,0.52,2.51,0.58,"0,99","18,79","0,98","11,34","6,53","0,54",12%,"0,78",5%,3%,5%,"12,99","7,48","1,25%"
"10,97",2014,3%,0.59,2.66,0.75,"0,87","19,51","0,49","5,63","3,19","0,26",12%,"0,38",4%,2%,5%,"12,75","7,21","2,61%"
"-1,71",2015,-11%,0.83,2.82,0.88,"-2,72","18,95","0,25","-2,44","-12,91","0,11",-1%,"0,18",-14%,-7%,-5%,"-13,33","-70,51","4,73%"
"-6,44",2016,-8%,0.85,2.06,0.71,"-1,68","14,12","0,77","-11,35","20,65","0,34",2%,"0,49",-12%,-5%,-4%,"-23,10","42,02","0,46%"
"-63,17",2017,-1%,0.69,2.33,0.44,"-0,20","13,89","0,89","19,34","6,67","0,42",9%,"0,58",-1%,-1%,3%,"33,09","11,41","0,40%"
"10,96",2018,5%,0.57,2.06,0.39,"1,35","15,08","0,98","6,30","4,29","0,50",13%,"0,55",9%,5%,9%,"8,61","5,87","1,69%"
"28,21",2019,3%,0.59,2.46,0.85,"0,71","15,80","1,27","10,80","6,54","0,64",13%,"0,87",4%,2%,7%,"10,38","6,29","1,40%"
"25,96",2020,3%,0.68,2.03,0.59,"0,57","17,05","0,87","9,61","5,35","0,42",12%,"0,66",3%,2%,5%,"14,01","7,79","0,94%"
