P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"18,04",2009,3%,"0,73","2,98","1,00","1,94","51,69","0,68","17,90","5,65","0,32",10%,"0,54",4%,2%,2%,"22,16","7,00","1,52%"
"4,83",2010,7%,"0,87","2,59","0,44","5,55","44,32","0,60","3,07","2,01","0,26",18%,"0,35",13%,5%,9%,"5,76","3,78","2,09%"
"3,73",2011,6%,"0,61","2,56","0,68","4,80","59,49","0,30","2,58","1,59","0,15",13%,"0,21",8%,4%,7%,"6,06","3,75","2,96%"
"7,09",2012,4%,"0,60","1,80","0,27","3,23","64,98","0,35","4,07","2,28","0,18",11%,"0,25",5%,2%,5%,"8,81","4,93","1,79%"
"6,35",2013,4%,"0,60","2,49","0,58","3,69","73,10","0,32","3,55","2,03","0,17",12%,"0,24",5%,3%,5%,"7,64","4,37","1,32%"
"4,22",2014,3%,"0,69","2,43","0,69","2,68","75,70","0,15","1,62","0,91","0,07",12%,"0,11",4%,2%,5%,"7,85","4,42","2,65%"
"-0,30",2015,-12%,"0,91","2,68","0,84","-5,51","33,39","0,05","-0,45","-2,08","0,02",-2%,"0,03",-17%,-7%,-6%,"-8,36","-38,30","6,63%"
"-1,46",2016,-8%,"0,92","1,98","0,68","-3,28","24,23","0,20","-2,81","5,19","0,08",2%,"0,12",-14%,-6%,-4%,"-13,51","24,92","0,00%"
"-14,15",2017,-1%,"0,74","2,33","0,44","-0,41","23,77","0,24","5,20","1,79","0,11",9%,"0,15",-2%,-1%,2%,"19,05","6,54","0,35%"
"3,05",2018,5%,"0,61","1,92","0,37","2,27","25,74","0,27","1,70","1,16","0,13",13%,"0,15",9%,4%,9%,"4,77","3,24","1,59%"
"8,42",2019,3%,"0,59","2,46","0,85","1,10","25,04","0,37","3,18","1,92","0,19",13%,"0,25",4%,2%,7%,"5,27","3,19","1,62%"
"7,73",2020,3%,"0,68","2,04","0,59","0,90","27,02","0,26","2,84","1,58","0,12",12%,"0,19",3%,2%,5%,"7,91","4,40","1,15%"
