P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"46,32",2004,6%,"0,20","4,79","0,00","0,68","7,37","4,27","18,42","0,00","3,00",0%,"2,60",9%,6%,17%,"41,33","0,00","0,00%"
"25,82",2005,8%,"0,21","6,18","0,00","0,87","8,51","2,64","17,15","14,27","1,94",15%,"2,10",10%,8%,11%,"54,18","45,08","4,54%"
"16,88",2006,12%,"0,28","4,64","0,00","1,36","9,79","2,34","12,47","10,91","1,62",19%,"2,08",14%,10%,13%,"39,12","34,22","5,36%"
"16,81",2007,11%,"0,16","5,97","0,00","1,28","11,18","1,92","11,09","10,10","1,47",18%,"1,79",11%,9%,14%,"36,61","33,33","5,58%"
"5,23",2008,18%,"0,18","5,68","0,00","2,43","12,59","1,01","4,90","4,56","0,78",21%,"0,95",19%,15%,16%,"27,58","25,64","8,90%"
"10,93",2009,19%,"0,09","6,02","0,00","0,91","4,88","2,04","19,51","16,72","1,69",12%,"2,05",19%,15%,9%,"46,08","39,50","10,65%"
"8,95",2010,20%,"0,11","5,90","3,41","1,04","5,57","1,67","13,41","11,85","1,40",15%,"1,75",19%,16%,22%,"29,03","25,65","3,76%"
"7,53",2011,21%,"0,06","7,93","4,00","1,02","5,99","1,28","12,30","10,70","1,13",15%,"1,56",17%,15%,17%,"32,52","28,28","7,93%"
"11,53",2012,23%,"0,07","5,06","1,48","1,43","6,49","2,54","13,66","12,57","2,16",21%,"2,63",22%,19%,21%,"18,12","16,67","5,58%"
"12,48",2013,20%,"0,06","5,94","1,52","1,45","6,89","2,63","13,58","12,46","2,29",20%,"2,48",21%,18%,21%,"16,51","15,15","5,42%"
"9,45",2014,22%,"0,07","6,76","2,34","1,62","7,76","1,97","11,77","10,51","1,71",20%,"2,06",21%,18%,20%,"16,49","14,72","5,16%"
"9,38",2015,25%,"0,08","5,39","1,75","1,80","8,70","1,94","12,63","11,14","1,66",21%,"2,30",21%,18%,17%,"16,24","14,33","5,17%"
"8,33",2016,31%,"0,04","9,06","4,76","2,11","9,72","1,81","13,18","15,47","1,63",17%,"2,59",22%,20%,21%,"14,31","16,79","5,92%"
"12,96",2017,29%,"0,04","8,84","4,87","2,19","10,70","2,66","18,40","16,26","2,39",23%,"3,80",21%,18%,24%,"11,78","10,41","4,36%"
"12,65",2018,25%,"0,04","8,01","4,28","0,65","3,84","2,13","16,19","14,15","1,92",22%,"3,17",17%,15%,20%,"12,05","10,53","16,95%"
"22,29",2019,24%,"0,05","8,94","4,48","0,55","4,08","3,01","31,21","25,72","2,73",21%,"5,35",13%,12%,13%,"16,23","13,38","2,52%"
"15,39",2020,22%,"0,09","5,14","2,72","0,50","3,99","1,91","19,15","15,62","1,64",22%,"3,41",12%,11%,13%,"16,27","13,27","5,24%"
