P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-48,49",2007,-45%,"0,33","0,71","0,00","-0,36","7,53","2,30","872,80","0,00","1,36",0%,"21,82",-5%,-3%,0%,"3.654,77","0,00","0,00%"
"-19,10",2008,-7%,"0,63","0,71","0,00","-0,12","7,39","0,31","2,34","1,88","0,11",71%,"1,33",-2%,-1%,5%,"76,87","61,79","0,00%"
"16,60",2009,26%,"0,17","0,45","0,00","0,52","7,86","1,09","6,85","5,96","0,52",72%,"4,32",7%,3%,8%,"57,12","49,73","0,00%"
"-60,07",2010,-9%,"0,94","2,18","1,94","-0,22","7,35","1,78","9,18","8,09","0,56",70%,"5,70",-3%,-1%,9%,"49,22","43,37","0,00%"
"-15,49",2011,-27%,"1,42","1,49","1,09","-0,73","6,60","1,72","6,66","5,85","0,45",71%,"4,18",-11%,-3%,8%,"45,14","39,63","0,00%"
"-5,98",2012,-49%,"3,96","2,61","2,17","-1,78","4,79","2,23","4,99","4,33","0,29",68%,"2,96",-37%,-5%,7%,"38,41","33,37","0,00%"
"-4,10",2013,-53%,"9,58","0,88","0,66","-2,30","2,48","3,81","2,94","2,58","0,21",84%,"2,17",-93%,-5%,9%,"27,29","23,93","0,00%"
"-1,50",2014,-98%,"1,05","1,69","0,91","-4,85","25,28","0,29","3,95","3,71","0,10",39%,"1,46",-19%,-7%,3%,"49,61","46,55","0,00%"
"-0,33",2015,-210%,"1,95","0,87","0,34","-8,48","12,00","0,23","4,14","3,61","0,06",19%,"0,69",-71%,-17%,1%,"112,24","97,93","0,00%"
"1,65",2016,71%,"1,25","0,66","0,21","2,42","12,80","0,31","1,53","1,58","0,09",74%,"1,17",19%,6%,6%,"23,61","24,40","0,00%"
"1,57",2017,100%,"1,07","4,73","0,43","3,63","17,63","0,32","0,92","0,92","0,11",172%,"1,57",21%,7%,12%,"11,02","10,92","0,00%"
"-1,28",2018,-166%,"32,58","0,66","0,45","-5,13","0,55","12,02","8,46","8,02","0,15",26%,"2,13",-937%,-12%,2%,"78,75","74,65","0,00%"
"-5,72",2019,-24%,"321,50","1,54","1,16","-0,49","0,06","48,60","1,66","1,62","0,11",86%,"1,40",-850%,-2%,8%,"38,88","38,00","109,64%"
"-11,21",2020,-270%,"-5,46","1,58","1,26","-4,55","-4,41","-11,57","35,06","34,13","1,97",89%,"30,27",103%,-18%,7%,"48,18","46,90","0,00%"
