P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"5,99",1998,12%,"0,00","3,16","0,00","0,40","6,44","0,37","14,98","0,00","0,29",0%,"0,73",6%,5%,2%,"793,93","0,00","0,00%"
"6,84",1999,10%,"0,00","2,26","0,00","0,83","7,27","0,78","14,83","0,00","0,58",0%,"0,69",11%,8%,4%,"330,76","0,00","2,63%"
"5,00",2000,9%,"0,00","1,88","0,00","1,01","8,30","0,61","7,33","0,00","0,42",0%,"0,44",12%,8%,7%,"184,61","0,00","3,96%"
"5,60",2001,6%,---,"2,12","0,00","0,82","9,11","0,50","19,04","0,00","0,36",0%,"0,36",9%,6%,2%,"529,15","0,00","5,22%"
"5,66",2002,8%,---,"1,95","0,00","1,20","10,29","0,66","10,10","0,00","0,46",0%,"0,47",12%,8%,5%,"188,98","0,00","2,79%"
"13,54",2003,5%,"0,00","2,12","0,00","0,75","11,06","0,92","106,08","0,00","0,64",0%,"0,66",7%,5%,1%,"1.323,38","0,00","2,75%"
"9,99",2004,11%,---,"2,00","0,00","1,97","12,92","1,53","20,15","0,00","1,01",0%,"1,07",15%,10%,6%,"130,12","0,00","0,86%"
"53,59",2005,5%,---,"1,99","0,00","1,27","14,20","4,78","0,00","0,00","2,85",0%,"2,80",9%,5%,0%,"0,00","0,00","0,66%"
"33,91",2006,12%,---,"1,97","0,00","3,14","16,99","6,27","255,60","0,00","3,97",0%,"4,06",18%,12%,2%,"305,28","0,00","0,28%"
"21,98",2007,10%,---,"1,97","0,00","2,88","20,05","3,16","-565,17","0,00","2,12",0%,"2,24",14%,10%,0%,"-1.133,90","0,00","1,15%"
"8,20",2008,7%,"0,09","1,56","0,00","2,20","21,25","0,85","51,05","0,00","0,57",0%,"0,59",10%,7%,1%,"366,29","0,00","3,78%"
"21,42",2009,10%,"0,07","1,66","0,00","3,45","24,02","3,07","19,03","17,23","2,03",12%,"2,11",14%,9%,12%,"33,22","30,08","0,60%"
"14,85",2010,13%,"0,20","2,35","0,47","5,43","31,23","2,58","11,07","8,93","1,59",22%,"1,93",17%,11%,17%,"17,60","14,20","0,78%"
"14,19",2011,12%,"0,25","2,38","0,33","5,85","35,87","2,31","10,79","8,59","1,40",20%,"1,70",16%,10%,15%,"17,14","13,64","1,31%"
"20,66",2012,10%,"0,25","2,38","0,46","5,88","40,48","3,00","15,01","11,59","1,79",18%,"2,14",15%,9%,14%,"16,04","12,38","0,95%"
"15,49",2013,10%,"0,20","2,11","0,33","6,78","45,34","2,32","11,43","8,78","1,38",18%,"1,61",15%,9%,14%,"14,15","10,86","2,82%"
"10,75",2014,10%,"0,32","2,17","0,34","7,72","50,88","1,63","8,18","6,14","0,87",18%,"1,10",15%,8%,12%,"13,24","9,93","2,46%"
"8,18",2015,6%,"0,42","1,52","0,24","5,63","54,33","0,85","6,06","3,96","0,41",13%,"0,52",10%,5%,8%,"18,36","12,01","4,50%"
"11,93",2016,5%,"0,44","1,57","0,31","5,10","57,95","1,05","9,39","5,50","0,49",12%,"0,64",9%,4%,6%,"21,22","12,43","2,29%"
"16,37",2017,9%,"0,32","1,78","0,28","9,17","64,50","2,33","10,53","7,88","1,17",18%,"1,45",14%,7%,13%,"9,51","7,11","1,17%"
"8,21",2018,17%,"0,43","1,66","0,30","19,81","78,99","2,06","7,19","5,96","0,97",24%,"1,41",25%,12%,16%,"6,32","5,24","3,48%"
"20,30",2019,8%,"0,54","1,71","0,36","1,19","10,46","2,31","14,93","10,84","0,96",14%,"1,55",11%,5%,8%,"11,36","8,25","2,40%"
"15,63",2020,7%,"0,56","1,69","0,33","1,04","10,38","1,56","11,26","8,32","0,68",12%,"1,04",10%,4%,7%,"13,24","9,78","3,33%"
