P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-0,13",1999,-51%,"1,63","1,05","0,00","-4,74","3,87","0,17","-0,45","0,00","0,04",0%,"0,07",-123%,-33%,-11%,"-53,97","0,00","0,00%"
"7,94",2000,0%,"2,13","1,16","0,00","0,03","3,90","0,06","0,25","0,00","0,01",0%,"0,02",1%,0%,7%,"81,33","0,00","0,00%"
"-0,19",2001,-17%,"5,03","1,40","0,00","-1,75","2,66","0,13","0,94","0,00","0,02",0%,"0,03",-66%,-9%,2%,"230,87","0,00","0,00%"
"-0,08",2002,-41%,"84,57","0,95","0,00","-3,84","0,21","1,42","0,35","0,00","0,01",0%,"0,03",-1.814%,-17%,4%,"104,27","0,00","0,00%"
"1,05",2003,4%,"26,56","1,08","0,00","0,36","0,54","0,70","0,41","0,00","0,02",0%,"0,04",67%,2%,5%,"90,50","0,00","0,00%"
"-3,31",2004,-5%,"492,00","1,11","0,00","-0,48","0,03","52,95","2,52","0,00","0,08",0%,"0,16",-1.600%,-2%,3%,"134,26","0,00","0,00%"
"2,76",2005,9%,"6,25","0,99","0,00","0,91","0,97","2,59","-6,36","-25,43","0,17",-1%,"0,26",94%,6%,-3%,"-194,42","-776,97","0,00%"
"9,54",2006,5%,"3,64","1,29","0,00","0,51","1,60","3,06","4,16","3,48","0,33",14%,"0,49",32%,4%,8%,"64,63","54,02","0,00%"
"28,31",2007,5%,"0,45","2,03","0,00","0,37","5,08","2,07","26,96","18,84","0,82",8%,"1,53",7%,3%,3%,"116,74","81,56","0,00%"
"10,98",2008,8%,"0,60","1,86","0,00","0,72","4,49","1,77","4,76","4,06","0,62",20%,"0,83",16%,6%,13%,"27,47","23,47","2,27%"
"13,91",2009,16%,"0,24","2,28","0,00","2,11","5,85","5,02","11,75","10,30","2,42",21%,"2,20",36%,17%,23%,"17,81","15,61","2,08%"
"20,63",2010,21%,"0,10","2,44","0,46","1,31","3,24","8,32","17,30","15,89","4,93",27%,"4,34",40%,24%,38%,"8,92","8,20","3,89%"
"17,80",2011,22%,"0,05","2,85","0,71","1,82","4,34","7,47","14,49","13,45","4,79",29%,"3,92",42%,27%,47%,"5,91","5,48","1,73%"
"22,17",2012,21%,"0,03","2,71","0,61","1,89","4,77","8,80","18,49","16,93","5,83",27%,"4,62",40%,26%,45%,"5,79","5,30","3,62%"
"15,48",2013,19%,"0,03","2,99","0,45","1,93","5,51","5,43","12,15","11,21","3,79",26%,"2,93",35%,24%,40%,"5,46","5,04","4,25%"
"10,38",2014,19%,"0,02","3,23","0,58","1,95","6,56","3,09","9,28","8,39","2,32",24%,"1,98",30%,22%,33%,"6,06","5,48","4,35%"
"8,74",2015,18%,"0,00","3,68","0,41","1,74","7,29","2,09","11,33","9,31","1,66",17%,"1,54",24%,19%,18%,"10,28","8,45","5,79%"
"12,31",2016,13%,"0,02","3,66","0,74","1,23","7,50","2,02","16,14","11,74","1,60",14%,"1,65",16%,13%,13%,"14,24","10,36","6,75%"
"15,71",2017,17%,"0,02","3,56","0,52","1,63","7,61","3,37","20,73","15,89","2,70",17%,"2,65",21%,17%,16%,"11,03","8,46","6,32%"
"19,80",2018,16%,---,"3,27","0,88","1,48","8,16","3,59","23,90","18,23","2,78",17%,"3,07",18%,14%,17%,"10,14","7,73","2,36%"
"25,85",2019,14%,"0,05","3,73","1,12","1,32","8,77","3,88","31,26","20,91","3,06",17%,"3,57",15%,12%,14%,"11,46","7,66","2,38%"
"13,26",2020,12%,"0,13","2,90","1,08","1,06","8,64","1,63","17,64","11,59","1,20",14%,"1,58",12%,9%,11%,"15,57","10,23","3,83%"
