P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-12,78",2008,-16%,0.23,1.62,0.00,"-1,04","9,65","1,38","-51,87","66,37","0,74",3%,"1,99",-11%,-6%,-1%,"-417,55","534,32","0,00%"
"61,10",2009,16%,0.23,1.42,0.00,"0,65","7,14","5,60","41,30","38,26","3,06",25%,"9,51",9%,5%,8%,"46,46","43,04","0,00%"
"46,93",2010,8%,0.58,2.57,1.38,"0,48","9,23","2,44","20,17","18,67","1,24",21%,"3,91",5%,3%,8%,"34,95","32,35","0,00%"
"-96,61",2011,-2%,0.68,2.95,1.62,"-0,09","10,63","0,80","12,62","9,94","0,40",16%,"1,60",-1%,0%,4%,"54,16","42,66","1,41%"
"50,49",2012,5%,0.58,2.42,1.05,"0,33","10,97","1,51","13,49","11,98","0,82",22%,"2,69",3%,2%,7%,"29,93","26,58","0,00%"
"43,21",2013,6%,0.55,1.97,0.60,"0,41","11,20","1,58","12,43","11,13","0,89",24%,"2,62",4%,2%,8%,"26,31","23,57","0,91%"
"25,99",2014,9%,0.64,1.61,0.61,"0,64","11,83","1,41","11,55","10,32","0,76",22%,"2,25",5%,3%,8%,"26,15","23,37","0,00%"
"24,47",2015,19%,0.61,2.92,0.82,"0,89","12,70","1,71","15,53","13,85","0,87",34%,"4,64",7%,4%,7%,"26,04","23,23","0,00%"
"14,05",2016,36%,0.10,3.07,0.77,"1,86","13,93","1,88","15,44","14,48","1,44",35%,"5,02",13%,10%,11%,"19,03","17,84","1,91%"
"23,54",2017,27%,0.08,2.30,0.89,"1,53","12,24","2,94","19,60","18,40","2,25",34%,"6,26",12%,10%,14%,"17,21","16,16","4,36%"
"16,88",2018,30%,0.07,3.04,1.16,"1,79","13,08","2,31","15,52","14,48","1,81",35%,"5,13",14%,11%,14%,"16,07","14,99","3,21%"
"19,40",2019,35%,0.16,3.00,1.42,"1,84","13,78","2,59","20,80","18,71","1,89",37%,"6,85",13%,10%,12%,"18,44","16,59","3,03%"
"18,93",2020,29%,0.23,3.00,1.43,"1,71","13,90","2,33","21,91","19,41","1,69",28%,"5,49",12%,9%,10%,"22,10","19,58","3,43%"
