P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"34,00",2007,38%,"0,33","3,62","0,00","0,85","13,25","2,19","46,52","28,10","1,32",46%,"12,90",6%,4%,3%,"169,94","102,64","0,86%"
"10,95",2008,41%,"0,27","2,15","0,00","1,19","14,57","0,89","9,47","6,39","0,59",70%,"4,46",8%,5%,6%,"72,49","48,90","3,46%"
"30,97",2009,40%,"0,24","5,42","0,00","1,10","17,41","1,95","22,46","17,66","1,37",70%,"12,42",6%,4%,6%,"54,33","42,72","2,47%"
"21,62",2010,58%,"0,33","4,99","4,33","1,92","18,79","2,21","19,91","17,77","1,43",70%,"12,49",10%,7%,10%,"36,75","32,79","1,61%"
"17,77",2011,47%,"0,69","3,30","2,84","1,95","19,98","1,73","13,03","11,65","0,94",71%,"8,32",10%,5%,10%,"31,22","27,89","1,99%"
"16,03",2012,66%,"0,84","3,37","2,91","1,70","11,20","2,43","11,82","10,63","1,21",99%,"10,52",15%,8%,14%,"18,50","16,64","1,40%"
"21,19",2013,44%,"0,85","3,45","2,82","1,05","13,18","1,69","13,56","11,66","0,85",80%,"9,38",8%,4%,8%,"24,60","21,15","1,79%"
"18,62",2014,40%,"0,83","1,73","1,25","1,32","14,13","1,74","11,82","9,62","0,88",78%,"7,52",9%,5%,9%,"20,79","16,91","1,42%"
"17,02",2015,31%,"0,79","1,14","0,71","1,11","14,92","1,27","8,30","6,62","0,66",79%,"5,25",7%,4%,9%,"19,61","15,65","1,80%"
"28,55",2016,25%,"0,82","1,76","1,30","0,93","15,52","1,72","11,40","9,04","0,90",78%,"7,05",6%,3%,9%,"19,07","15,11","1,27%"
"31,48",2017,32%,"0,75","2,05","1,41","1,25","15,89","2,48","15,99","12,87","1,37",78%,"10,05",8%,4%,9%,"18,01","14,49","1,73%"
"28,15",2018,36%,"0,79","3,38","2,63","1,48","16,11","2,58","16,36","13,15","1,39",77%,"10,19",9%,5%,10%,"17,33","13,93","0,00%"
"29,75",2019,42%,"0,79","4,33","3,68","1,78","16,99","3,11","18,43","14,69","1,66",84%,"12,39",10%,6%,11%,"15,00","11,96","0,40%"
"22,56",2020,37%,"0,84","2,86","2,50","1,54","17,03","2,04","12,94","10,76","1,04",78%,"8,34",9%,5%,10%,"16,50","13,71","0,60%"
