P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"1,91",2002,46%,0.24,1.07,0.00,"0,99","3,76","0,50","1,16","0,00","0,05",0%,"0,88",26%,3%,4%,"16,37","0,00","4,26%"
"3,04",2003,46%,0.06,1.10,0.00,"1,12","4,60","0,74","-1,99","0,00","0,09",0%,"1,40",24%,3%,-5%,"-14,75","0,00","6,74%"
"3,33",2004,47%,0.04,1.22,0.00,"1,38","5,33","0,86","-3,18","0,00","0,11",0%,"1,58",26%,3%,-3%,"-17,37","0,00","4,57%"
"4,13",2005,52%,0.03,1.34,0.00,"1,79","5,91","1,25","-3,76","-4,24","0,15",-50%,"2,14",30%,4%,-4%,"-12,98","-14,63","3,65%"
"4,63",2006,60%,0.02,1.42,0.00,"2,36","8,57","1,27","-3,77","-6,49","0,16",-43%,"2,76",28%,3%,-4%,"-8,80","-15,17","2,29%"
"4,27",2007,69%,0.03,1.33,0.00,"2,75","9,62","1,22","-6,30","-7,14","0,14",-41%,"2,95",29%,3%,-2%,"-12,37","-14,01","2,55%"
"4,90",2008,40%,0.03,1.37,0.00,"1,64","12,44","0,64","-1,17","-1,33","0,05",-148%,"1,98",13%,1%,-4%,"-3,09","-3,51","1,50%"
"3,82",2009,69%,0.03,1.36,0.00,"3,10","13,34","0,89","-1,78","-1,94","0,08",-137%,"2,66",23%,2%,-5%,"-2,84","-3,09","1,10%"
"11,52",2010,96%,---,1.22,0.71,"1,15","6,67","1,98","-4,85","-5,40","0,21",-204%,"11,02",17%,2%,-7%,"1,90","2,11","1,52%"
"9,26",2011,105%,---,1.28,0.71,"1,22","7,33","1,54","-4,08","-4,61","0,16",-212%,"9,76",17%,2%,-6%,"2,11","2,39","3,72%"
"9,32",2012,89%,---,1.20,0.68,"1,04","6,75","1,44","-3,72","-4,21","0,13",-197%,"8,31",15%,1%,-5%,"3,38","3,83","0,72%"
"8,10",2013,114%,0.08,1.81,0.56,"1,10","6,58","1,35","7,39","6,75","1,16",136%,"9,21",17%,14%,16%,"12,37","11,30","3,93%"
"7,02",2014,163%,0.07,1.72,0.67,"1,34","6,92","1,36","6,88","6,38","1,18",179%,"11,41",19%,17%,18%,"9,76","9,05","2,24%"
"5,17",2015,184%,0.06,1.92,0.77,"1,33","7,09","0,97","5,12","4,79","0,85",199%,"9,51",19%,16%,17%,"8,94","8,36","6,69%"
"7,49",2016,175%,0.07,1.71,0.70,"1,11","6,82","1,21","7,48","8,11","1,04",162%,"13,13",16%,14%,15%,"9,89","10,73","3,99%"
"9,49",2017,172%,0.08,1.76,0.81,"1,14","7,52","1,44","9,41","8,81","1,23",185%,"16,27",15%,13%,14%,"9,60","8,99","4,62%"
"10,46",2018,181%,0.07,2.66,1.45,"1,15","6,91","1,75","10,23","9,45","1,53",200%,"18,90",17%,15%,16%,"8,16","7,54","2,15%"
"11,21",2019,211%,0.07,2.48,1.39,"1,26","6,94","2,03","10,78","10,11","1,76",234%,"23,66",18%,16%,17%,"7,37","6,91","8,45%"
"9,02",2020,179%,0.08,2.58,1.44,"1,08","6,54","1,49","8,24","7,70","1,28",209%,"16,12",17%,14%,17%,"8,16","7,63","9,01%"
