P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-38,71",2007,-1%,1.23,1.26,0.00,"-0,16","2,83","2,12","19,01","12,08","0,77",4%,"0,46",-5%,-2%,5%,"183,50","116,58","0,00%"
"288,37",2008,0%,0.92,1.68,0.00,"0,02","4,37","1,13","9,29","5,93","0,43",4%,"0,23",0%,0%,5%,"86,25","55,03","0,20%"
"166,58",2009,0%,1.03,1.48,0.00,"0,06","7,48","1,25","22,99","16,85","0,51",4%,"0,63",1%,0%,2%,"81,24","59,55","0,11%"
"-67,96",2010,0%,1.02,1.52,0.42,"-0,11","7,50","0,96","7,81","5,09","0,40",6%,"0,32",-1%,-1%,6%,"32,18","20,95","0,42%"
"-56,15",2011,-1%,0.87,1.72,0.51,"-0,11","7,29","0,83","10,12","5,87","0,38",5%,"0,29",-1%,-1%,5%,"40,55","23,51","0,00%"
"22,35",2012,1%,0.96,1.68,0.47,"0,27","7,53","0,80","6,28","3,94","0,34",6%,"0,23",4%,2%,7%,"27,10","17,01","0,00%"
"22,48",2013,1%,1.42,1.63,0.51,"0,39","8,06","1,09","6,05","4,06","0,37",7%,"0,27",5%,2%,8%,"19,83","13,30","0,68%"
"13,44",2014,2%,1.55,1.51,0.60,"0,83","8,96","1,25","4,13","3,12","0,39",9%,"0,27",9%,3%,13%,"10,70","8,08","0,71%"
"6,72",2015,3%,2.22,1.24,0.47,"1,84","10,61","1,16","3,76","2,68","0,28",8%,"0,21",17%,4%,10%,"11,51","8,21","1,38%"
"46,00",2016,0%,2.26,1.02,0.28,"0,25","8,72","1,31","4,83","2,90","0,32",7%,"0,19",3%,1%,8%,"15,64","9,38","3,60%"
"26,09",2017,1%,2.18,1.24,0.40,"0,38","9,58","1,02","3,97","2,39","0,25",7%,"0,16",4%,1%,8%,"15,40","9,26","0,31%"
"150,60",2018,0%,2.01,1.71,0.41,"0,08","10,24","1,13","4,40","2,64","0,28",7%,"0,17",1%,0%,8%,"14,74","8,83","0,43%"
"10,89",2019,3%,1.63,1.47,0.35,"2,37","11,90","2,17","5,22","3,56","0,56",10%,"0,34",20%,5%,14%,"7,54","5,13","0,00%"
"-100,38",2020,0%,2.25,1.74,0.55,"-0,22","12,31","1,76","4,19","2,87","0,38",9%,"0,27",-2%,0%,12%,"8,21","5,62","0,00%"
