P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"37,12",2007,22%,"0,23","3,58","0,00","0,15","1,86","3,05","30,54","27,56","2,02",29%,"7,99",8%,5%,7%,"50,24","45,33","0,00%"
"4,60",2008,23%,"0,40","2,13","0,00","0,36","2,06","0,80","3,74","2,92","0,44",36%,"1,04",17%,9%,12%,"22,05","17,18","2,42%"
"10,66",2009,30%,"0,47","1,98","0,00","0,35","2,21","1,70","9,03","6,15","0,87",52%,"3,22",16%,8%,10%,"23,92","16,29","6,13%"
"6,94",2010,28%,"0,63","2,74","1,50","0,50","2,53","1,38","6,32","5,75","0,70",34%,"1,96",20%,10%,16%,"16,20","14,72","5,14%"
"10,58",2011,24%,"0,88","2,40","1,12","0,52","2,73","2,01","8,73","7,76","0,92",33%,"2,58",19%,9%,14%,"15,68","13,93","4,20%"
"20,03",2012,21%,"1,28","3,67","1,38","0,43","3,02","2,85","14,04","13,00","1,13",32%,"4,13",14%,6%,10%,"18,41","17,04","2,21%"
"5,75",2013,48%,"0,98","3,38","1,20","0,74","5,13","0,83","3,39","3,31","0,35",83%,"2,75",14%,6%,12%,"9,85","9,62","4,46%"
"22,57",2014,7%,"1,08","1,77","0,49","0,10","5,30","0,44","4,32","4,13","0,17",41%,"1,69",2%,1%,4%,"25,05","23,96","2,55%"
"6,01",2015,18%,"0,72","1,13","0,11","0,21","5,08","0,25","1,46","1,40","0,10",76%,"1,06",4%,2%,7%,"12,07","11,60","0,00%"
"-2,95",2016,-65%,"0,67","1,91","0,18","-0,48","4,22","0,33","-4,84","-5,34","0,16",-36%,"1,93",-11%,-5%,-3%,"-33,79","-37,28","0,00%"
"-34,07",2017,-8%,"0,62","0,91","0,09","-0,05","4,08","0,43","4,87","4,51","0,21",57%,"2,59",-1%,-1%,4%,"26,96","25,00","0,00%"
"5,16",2018,40%,"0,53","0,97","0,35","0,37","4,31","0,45","3,08","2,95","0,21",71%,"2,08",9%,4%,7%,"14,47","13,88","0,00%"
"13,91",2019,51%,"0,39","2,17","1,25","0,51","4,79","1,49","7,46","7,16","0,78",100%,"7,15",11%,6%,12%,"7,31","7,01","2,81%"
"11,50",2020,49%,"0,38","2,10","1,02","0,52","4,76","1,25","6,23","5,96","0,65",94%,"5,58",11%,6%,11%,"7,47","7,15","1,35%"
