P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"23,34",2010,5%,"1,91","1,48","0,74","0,48","4,09","2,73","9,16","6,72","0,76",16%,"1,09",12%,3%,10%,"23,04","16,89","0,00%"
"31,56",2011,2%,"2,81","1,60","0,62","0,30","4,23","2,21","8,06","4,32","0,48",18%,"0,77",7%,2%,7%,"27,80","14,90","1,93%"
"38,05",2012,2%,"2,77","1,23","0,35","0,37","4,42","3,17","9,89","5,06","0,66",15%,"0,75",8%,2%,8%,"22,14","11,33","0,64%"
"36,01",2013,2%,"3,44","1,41","0,51","0,44","4,73","3,37","9,61","4,85","0,59",15%,"0,72",9%,2%,8%,"20,34","10,27","0,75%"
"36,10",2014,1%,"4,64","1,53","0,64","0,35","4,92","2,59","5,87","3,12","0,36",16%,"0,49",7%,1%,8%,"17,65","9,36","0,78%"
"30,95",2015,1%,"6,22","1,40","0,69","0,23","4,94","1,46","2,54","1,36","0,17",18%,"0,25",5%,1%,9%,"15,68","8,38","0,69%"
"-10,64",2016,-3%,"10,38","0,85","0,33","-0,84","2,80","3,20","3,90","1,86","0,22",16%,"0,29",-30%,-2%,7%,"19,57","9,34","10,80%"
"92,81",2017,0%,"6,95","1,43","0,78","0,09","5,87","1,41","2,37","1,36","0,15",17%,"0,23",2%,0%,9%,"14,66","8,40","0,00%"
"7,52",2018,2%,"9,62","1,78","1,20","0,93","6,08","1,15","1,49","0,89","0,09",20%,"0,18",15%,1%,10%,"12,12","7,29","2,15%"
"17,30",2019,3%,"6,10","1,90","1,24","1,55","11,50","2,33","4,61","2,62","0,27",22%,"0,57",13%,2%,9%,"11,00","6,24","0,00%"
"25,36",2020,2%,"6,88","2,13","1,44","0,84","11,13","1,91","4,51","2,24","0,20",20%,"0,45",8%,1%,7%,"14,17","7,05","0,90%"
