P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"1,57",1998,11%,"0,58","2,29","0,00","3,74","12,21","0,48","1,74","0,00","0,23",0%,"0,18",31%,15%,15%,"325,23","0,00","0,00%"
"9,91",1999,4%,"1,89","1,77","0,00","0,71","3,08","2,27","-19,82","0,00","0,49",0%,"0,40",23%,5%,-3%,"-2.058,48","0,00","1,43%"
"-8,12",2000,-2%,"2,46","1,63","0,00","-0,44","2,59","1,37","-24,37","0,00","0,23",0%,"0,18",-17%,-3%,-1%,"-5.148,80","0,00","5,35%"
"4,95",2001,4%,"2,57","1,62","0,00","0,82","3,40","1,19","3,51","0,00","0,20",0%,"0,19",24%,4%,7%,"653,78","0,00","0,00%"
"6,12",2002,6%,"3,09","1,92","0,00","1,50","3,41","2,70","6,30","0,00","0,41",0%,"0,39",44%,7%,8%,"528,14","0,00","16,20%"
"15,73",2003,7%,"3,76","1,01","0,00","1,94","3,34","9,13","10,43","0,00","1,09",0%,"1,02",58%,7%,14%,"272,98","0,00","5,08%"
"37,48",2004,3%,"4,41","1,33","0,00","1,08","2,98","13,63","13,10","0,00","1,31",0%,"1,18",36%,3%,14%,"252,06","0,00","3,40%"
"24,38",2005,7%,"3,96","1,36","0,00","2,93","4,67","15,31","13,77","0,00","1,73",0%,"1,73",63%,7%,17%,"150,68","0,00","1,30%"
"63,43",2006,4%,"3,44","1,26","0,00","1,88","6,89","17,33","28,42","0,00","2,03",0%,"2,31",27%,3%,9%,"171,39","0,00","1,35%"
"78,15",2007,3%,"5,86","1,07","0,00","0,20","0,60","25,99","19,95","0,00","2,24",0%,"1,98",33%,3%,16%,"94,38","0,00","4,57%"
"36,55",2008,2%,"10,45","1,22","0,00","0,17","0,53","11,90","7,59","0,00","0,69",0%,"0,65",33%,2%,12%,"91,47","0,00","0,64%"
"62,29",2009,2%,"7,91","1,58","0,00","0,25","0,67","23,15","13,88","11,13","1,67",12%,"1,35",37%,3%,16%,"67,62","54,19","0,26%"
"34,30",2010,3%,"7,53","1,32","0,45","0,45","0,75","20,33","10,32","9,11","1,40",13%,"1,19",59%,4%,30%,"49,06","43,33","0,46%"
"34,98",2011,3%,"4,31","1,48","0,52","0,41","1,55","9,21","9,35","8,10","1,12",13%,"1,05",26%,3%,24%,"47,03","40,72","0,77%"
"49,93",2012,3%,"5,35","1,50","0,63","0,37","1,24","14,82","14,04","11,86","1,56",13%,"1,52",30%,3%,24%,"43,92","37,09","0,60%"
"36,94",2013,3%,"5,17","1,64","0,75","0,43","1,57","10,01","10,25","8,55","1,05",13%,"1,11",27%,3%,24%,"37,64","31,40","0,70%"
"57,10",2014,2%,"2,63","1,54","0,70","0,30","2,58","6,69","12,12","9,85","1,21",13%,"1,26",12%,2%,22%,"32,40","26,33","0,70%"
"340,26",2015,0%,"3,66","1,61","0,77","0,06","2,50","7,75","11,78","9,21","1,11",14%,"1,27",2%,0%,21%,"28,91","22,60","0,57%"
"837,12",2016,0%,"3,68","1,56","0,58","0,02","2,21","7,69","11,91","9,08","1,17",15%,"1,34",1%,0%,17%,"28,59","21,79","0,71%"
"332,15",2017,0%,"2,56","1,82","1,04","0,05","3,82","4,46","14,24","10,15","0,99",16%,"1,60",1%,0%,15%,"29,58","21,10","0,12%"
"138,30",2018,1%,"2,49","2,08","1,20","0,14","3,93","5,02","18,34","11,88","1,11",15%,"1,78",4%,1%,13%,"32,94","21,33","0,41%"
"71,35",2019,3%,"2,42","1,79","1,00","0,36","4,60","5,64","19,75","13,59","1,25",16%,"2,19",8%,2%,13%,"27,67","19,04","0,31%"
"84,03",2020,3%,"2,49","1,95","1,15","0,37","4,71","6,64","24,35","16,51","1,48",16%,"2,58",8%,2%,13%,"28,32","19,21","0,00%"
