P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"9,57",2011,8%,"0,52","1,35","0,41","4,44","31,38","1,35","7,48","4,88","0,69",17%,"0,81",14%,7%,11%,"11,52","7,52","10,24%"
"17,82",2012,8%,"0,35","1,60","0,24","1,40","10,62","2,36","11,88","8,41","1,37",17%,"1,44",13%,8%,13%,"10,32","7,31","7,32%"
"17,94",2013,8%,"0,36","2,56","0,55","1,53","10,71","2,56","11,27","8,25","1,45",18%,"1,47",14%,8%,15%,"8,71","6,37","4,56%"
"13,65",2014,8%,"0,44","1,83","0,48","1,54","10,48","2,00","9,67","6,96","1,06",17%,"1,15",15%,8%,13%,"9,90","7,13","9,64%"
"18,25",2015,7%,"0,37","1,75","0,26","1,36","10,05","2,46","11,94","8,53","1,28",15%,"1,31",13%,7%,12%,"10,44","7,46","6,87%"
"532,73",2016,0%,"0,41","2,18","0,52","0,04","9,47","2,19","156,69","22,75","1,13",5%,"1,19",0%,0%,1%,"158,38","23,00","2,99%"
"13,55",2017,10%,"0,13","2,50","0,40","1,76","10,52","2,27","9,94","7,55","1,38",18%,"1,35",17%,10%,16%,"7,97","6,06","2,39%"
"10,96",2018,11%,"0,22","1,97","0,17","2,29","10,54","2,38","8,55","6,90","1,39",18%,"1,24",22%,13%,18%,"7,01","5,66","7,17%"
"14,32",2019,10%,"0,32","1,87","0,29","2,01","10,10","2,85","10,65","8,38","1,59",17%,"1,46",20%,11%,17%,"7,78","6,13","7,50%"
"11,42",2020,9%,"0,57","1,56","0,50","1,67","10,37","1,84","7,78","5,93","0,87",17%,"0,99",16%,8%,15%,"8,68","6,62","3,36%"
