P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"-20,68",2006,-3%,2.02,1.77,0.00,"-1,11","11,26","2,04","7,25","6,12","0,36",9%,"0,57",-10%,-2%,5%,"18,31","15,47","0,00%"
"5,41",2007,22%,0.71,1.68,0.00,"5,30","13,11","2,18","7,39","5,22","0,65",22%,"1,17",40%,12%,9%,"8,42","5,95","8,90%"
"4,43",2008,19%,0.77,1.53,0.00,"4,94","13,74","1,59","3,67","2,92","0,47",28%,"0,83",36%,11%,14%,"5,70","4,53","12,44%"
"8,43",2009,12%,0.85,1.53,0.00,"3,08","14,17","1,83","5,89","4,40","0,57",22%,"0,97",22%,7%,10%,"8,03","6,00","11,20%"
"8,99",2010,9%,0.74,1.09,0.24,"2,83","16,33","1,56","4,17","3,25","0,54",25%,"0,80",17%,6%,15%,"5,38","4,20","15,34%"
"18,82",2011,4%,1.29,1.37,0.39,"1,53","15,79","1,82","6,73","4,76","0,53",18%,"0,85",10%,3%,9%,"9,31","6,59","9,48%"
"10,68",2012,6%,1.54,1.12,0.19,"2,09","14,83","1,50","4,14","3,13","0,39",19%,"0,60",14%,4%,10%,"8,21","6,19","7,71%"
"7,66",2013,8%,1.67,1.05,0.54,"2,89","17,05","1,30","3,45","2,66","0,35",23%,"0,61",17%,5%,13%,"6,71","5,17","4,43%"
"5,23",2014,7%,1.81,1.01,0.17,"3,26","17,79","0,96","2,49","1,92","0,25",20%,"0,38",18%,5%,12%,"7,76","5,98","10,52%"
"51,77",2015,0%,2.07,0.90,0.12,"0,19","17,97","0,55","3,15","1,84","0,14",10%,"0,19",1%,0%,5%,"18,43","10,74","7,78%"
"-11,38",2016,-3%,2.07,0.74,0.14,"-1,53","16,44","1,06","6,87","180,33","0,25",0%,"0,37",-9%,-2%,4%,"21,37","560,64","0,29%"
"27,23",2017,1%,2.16,0.75,0.06,"0,61","16,83","0,99","2,90","2,01","0,23",15%,"0,30",4%,1%,9%,"10,05","6,97","0,00%"
"20,15",2018,1%,2.96,1.07,0.32,"0,82","16,62","0,99","3,50","2,23","0,19",13%,"0,28",5%,1%,7%,"13,61","8,69","0,85%"
"5,44",2019,10%,1.41,1.03,0.32,"4,37","20,50","1,16","5,61","3,85","0,30",14%,"0,54",21%,6%,7%,"9,19","6,31","0,80%"
"3,53",2020,10%,1.40,1.28,0.31,"4,38","22,09","0,70","4,03","2,68","0,19",13%,"0,36",20%,5%,6%,"10,85","7,20","0,00%"
