P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"19,76",2007,20%,---,"3,82","0,00","0,70","6,41","2,15","13,75","13,93","1,63",28%,"3,89",11%,8%,12%,"16,83","17,05","0,00%"
"4,65",2008,21%,"0,06","3,31","0,00","1,09","7,02","0,72","8,01","6,05","0,55",16%,"0,98",15%,12%,7%,"29,30","22,14","3,56%"
"-103,96",2009,-2%,"0,34","3,87","0,00","-0,08","6,88","1,24","-66,16","70,08","0,79",2%,"1,71",-1%,-1%,-1%,"-159,04","168,45","2,71%"
"46,86",2010,3%,"0,66","3,17","0,97","0,22","7,14","1,46","22,26","12,74","0,78",11%,"1,44",3%,2%,4%,"47,26","27,04","0,00%"
"-7,53",2011,-12%,"1,42","1,81","0,53","-0,91","6,23","1,10","-8,27","-21,91","0,39",-4%,"0,89",-15%,-5%,-5%,"-31,58","-83,66","0,00%"
"-30,50",2012,-3%,"2,11","1,18","0,44","-0,28","6,19","1,38","16,27","6,59","0,39",15%,"1,02",-5%,-1%,3%,"56,79","22,99","0,00%"
"117,01",2013,1%,"2,33","1,35","0,30","0,07","6,49","1,26","7,55","4,60","0,34",19%,"0,87",1%,0%,5%,"29,67","18,10","0,00%"
"-3,51",2014,-9%,"3,06","1,02","0,04","-0,97","5,50","0,62","2,37","1,56","0,14",19%,"0,30",-18%,-4%,6%,"24,19","15,89","0,00%"
"-0,28",2015,-35%,"19,63","0,23","0,01","-4,36","1,12","1,08","1,55","0,76","0,04",13%,"0,10",-389%,-16%,3%,"50,86","25,08","0,00%"
"0,50",2016,12%,"7,03","1,17","0,17","5,12","10,30","0,25","0,27","0,18","0,03",33%,"0,06",50%,5%,11%,"16,19","10,85","0,00%"
"-0,13",2017,-69%,"-3,23","1,13","0,22","-25,95","-16,83","-0,21","-0,16","-0,18","0,07",-51%,"0,09",154%,-52%,-50%,"-5,52","-6,22","0,00%"
"49,50",2018,1%,"-3,55","1,01","0,09","0,16","-9,30","-0,84","2,22","1,50","0,26",20%,"0,30",-2%,1%,13%,"20,74","14,03","0,00%"
"167,52",2019,1%,"3,96","2,76","2,00","0,12","3,04","6,87","12,59","8,03","1,14",26%,"2,07",4%,1%,15%,"12,38","7,90","0,00%"
"-14,20",2020,-10%,"6,57","2,33","1,57","-1,03","1,95","7,48","9,62","5,83","0,79",24%,"1,40",-53%,-6%,13%,"14,57","8,83","0,00%"
