P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"35,21",2006,7%,"0,17","1,41","0,00","0,87","4,47","6,87","26,29","20,81","3,11",12%,"2,60",20%,9%,14%,"236,69","187,35","8,14%"
"27,19",2007,8%,"0,21","1,33","0,00","1,32","4,79","7,52","18,87","15,52","3,17",15%,"2,27",28%,12%,21%,"144,99","119,27","1,56%"
"11,41",2008,8%,"0,49","1,44","0,00","1,37","5,85","2,68","7,97","6,35","1,22",14%,"0,87",23%,11%,17%,"141,69","112,86","6,25%"
"24,31",2009,8%,"0,54","1,39","0,00","1,62","6,38","6,16","16,92","13,43","2,49",15%,"2,03",25%,10%,17%,"119,91","95,15","1,12%"
"22,33",2010,11%,"0,64","1,92","0,70","2,53","8,34","6,76","17,04","14,37","2,81",17%,"2,51",30%,13%,28%,"82,69","69,73","2,43%"
"17,64",2011,10%,"0,73","1,91","0,54","2,74","9,40","5,15","12,57","10,43","1,99",18%,"1,84",29%,11%,24%,"71,41","59,23","3,99%"
"27,82",2012,9%,"1,01","1,45","0,40","2,87","10,51","7,59","17,71","14,31","2,63",18%,"2,56",27%,9%,21%,"61,09","49,33","2,62%"
"18,78",2013,9%,"1,19","1,55","0,41","3,25","11,86","5,14","11,80","9,39","1,70",19%,"1,76",27%,9%,20%,"52,99","42,18","3,20%"
"20,55",2014,9%,"1,05","1,72","0,41","3,72","14,56","5,25","12,13","9,60","1,83",19%,"1,87",26%,9%,20%,"43,14","34,13","1,84%"
"18,83",2015,9%,"0,82","1,60","0,32","0,91","3,61","4,74","11,71","9,13","1,87",19%,"1,78",25%,10%,20%,"37,13","28,95","9,36%"
"23,82",2016,10%,"0,71","1,40","0,31","0,97","4,10","5,66","15,28","11,59","2,30",20%,"2,31",24%,10%,20%,"35,35","26,81","1,94%"
"34,49",2017,10%,"0,58","1,67","0,39","1,03","4,52","7,85","23,27","17,87","3,35",19%,"3,40",23%,10%,20%,"31,48","24,18","1,10%"
"29,90",2018,12%,"0,49","1,37","0,32","1,42","5,49","7,72","21,44","17,56","3,46",21%,"3,62",26%,12%,22%,"23,92","19,59","1,06%"
"40,60",2019,11%,"0,35","1,40","0,29","1,38","5,91","9,50","27,19","18,83","3,79",25%,"4,66",23%,9%,18%,"20,55","14,23","0,89%"
"35,18",2020,10%,"0,54","1,37","0,36","1,19","5,89","7,12","23,37","15,34","2,84",23%,"3,49",20%,8%,16%,"23,99","15,75","0,60%"
