P_L,ano,margem_liq,divida_liq_EBITDA,liq_corrente,liq_imediata,LPA,VPA,P_VP,P_EBIT,P_EBITDA,P_ativos,margem_EBITDA,PSR,ROE,ROA,ROIC,EV_EBIT,EV_EBITDA,DY
"48,67",2006,13%,"1,07","4,88","0,00","0,66","5,37","5,96","34,76","28,13","2,57",23%,"6,55",12%,5%,8%,"7,18","5,81","0,00%"
"-60,56",2007,-12%,"2,60","2,27","0,00","-0,99","5,40","11,12","118,59","32,25","2,57",23%,"7,37",-18%,-4%,2%,"29,44","8,00","0,22%"
"-12,95",2008,-12%,"6,16","2,19","0,00","-1,81","4,06","5,77","9,52","5,87","0,69",27%,"1,58",-45%,-5%,7%,"10,51","6,48","0,00%"
"71,91",2009,3%,"3,64","3,69","0,00","0,38","6,02","4,51","41,75","19,58","0,88",12%,"2,33",6%,1%,2%,"35,05","16,44","0,00%"
"-12,78",2010,-12%,"3,07","1,64","0,23","-1,51","3,86","5,00","48,42","19,21","0,64",8%,"1,58",-39%,-5%,1%,"28,82","11,44","0,00%"
"-0,89",2011,-41%,"-17,60","0,57","0,03","-5,01","-0,90","-4,94","-16,33","9,46","0,14",4%,"0,37",556%,-16%,-1%,"-59,50","34,47","0,00%"
"-0,46",2012,-89%,"-4,18","0,53","0,03","-3,56","-1,20","-1,37","-0,86","-0,96","0,16",-43%,"0,41",296%,-34%,-20%,"-2,66","-2,97","0,00%"
"-0,28",2013,-67%,"-1,40","0,21","0,01","-2,40","-3,57","-0,19","-0,72","-1,13","0,07",-17%,"0,19",67%,-27%,-11%,"-5,46","-8,56","0,00%"
"-0,52",2014,-142%,"2,87","0,94","0,00","-0,13","0,02","3,46","-1,57","-2,09","0,32",-35%,"0,74",-663%,-62%,-23%,"-1,50","-1,98","0,00%"
"-0,26",2015,-28%,"2,15","1,11","0,15","-7,88","9,90","0,21","-0,07","-0,09","0,02",-85%,"0,07",-80%,-9%,-37%,"-0,75","-0,92","0,00%"
"6,31",2016,4%,"3,50","0,92","0,01","0,64","4,68","0,86","-0,42","-0,91","0,06",-30%,"0,27",14%,1%,-15%,"-2,15","-4,66","0,00%"
"-6,81",2017,-4%,"1,49","1,78","0,02","-0,43","11,92","0,24","-3,03","1,97","0,05",12%,"0,24",-4%,-1%,-2%,"-22,84","14,84","0,00%"
"-0,29",2018,-80%,"1,32","1,79","0,01","-6,23","8,20","0,22","-0,52","-0,68","0,05",-35%,"0,24",-76%,-17%,-10%,"-3,76","-4,93","0,00%"
"-1,73",2019,-78%,"1,49","2,71","0,07","-1,11","4,40","0,44","-2,16","-3,22","0,09",-42%,"1,35",-25%,-5%,-4%,"-9,18","-13,69","0,00%"
"-0,59",2020,-531%,"2,20","2,94","0,03","-3,06","3,33","0,54","-1,56","-1,92","0,08",-162%,"3,12",-92%,-14%,-5%,"-7,83","-9,67","0,00%"
